orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength,integracao_siconfi_principal
00091238000170,1,7,4208906,Jaraguá do Sul,SC,354388.32,7,6,0.4045212643785513,0.5643524876892105,0.9904406838238912,2.472057931333368,0.6140806469257593,0.183673469387755,5.444444444444445,0.2208477949907962,0.4150654617630527,0.7484208448057248,True
00204125000133,1,7,2704302,Maceió,AL,93584.2,7,7,0.3627043694426003,0.5231652351572167,0.917454014673417,2.7570663169478435,0.6735154335244494,0.1428571428571428,7.0,0.2198472265854574,0.4470834285739227,0.5034087508994136,True
00460408000146,1,5,3110608,Cambuí,MG,115122.96,5,5,0.7121942314230545,0.8338909979382045,0.9897622507273962,1.404111344740708,0.3610256867934865,0.2,4.999999999999999,0.5121942314230544,0.4883817695641092,0.6839676665600792,True
00536717000152,1,10,3200300,Alfredo Chaves,ES,383040.95,10,10,0.1274996889206784,0.1723053370664415,0.6101159158048245,7.843156390931522,0.9305341934583984,0.1,9.999999999999996,0.0274996889206783,0.5123061484187917,0.6522842763779553,True
00955107000193,1,34,3543907,Rio Claro,SP,347447.98000000004,34,27,0.0992656907238385,0.1731194407865028,0.5443922857171309,10.073974126488917,0.7842373202917639,0.0432525951557093,23.12,0.0560130955681291,0.4981588445395735,0.5430572614618535,True
00999472000108,1,38,5220454,Senador Canedo,GO,15195600.0,38,38,0.0561304704165383,0.0947642738687514,0.3790570954750059,17.81563547533283,0.8689435126598081,0.0263157894736842,38.0,0.0298146809428541,0.4692397569997985,0.9142891110850542,True
01071994000108,1,26,4120358,Pranchita,PR,2330112.26,26,26,0.1801192163240494,0.2789077638688532,0.7425009643097624,5.551878474759277,0.6640751768379669,0.0384615384615384,26.0,0.141657677862511,0.5966612844188836,0.8919495534048115,True
01280363000190,1,18,4209102,Joinville,SC,17337283.92,18,16,0.5471006198949253,0.6784062633035545,0.9944246157330048,1.8278173404227864,0.2727203846927317,0.074074074074074,13.5,0.4730265458208512,0.4103140721697073,0.9874785893712869,True
01282378000198,1,17,4217105,São Martinho,SC,128035.94,17,13,0.6270303612307502,0.7810307012234221,0.947735534257022,1.5948191057880772,0.3381777655202203,0.1003460207612456,9.965517241379311,0.5266843404695045,0.988325512944752,0.9770092336357968,True
01349236000109,1,70,4202800,Braço do Norte,SC,436648.678,70,22,0.1022914515136944,0.1793203642769302,0.5505438401899845,9.77598797555555,0.8161845245157895,0.0742857142857143,13.461538461538458,0.02800573722798,0.9978254241054764,0.9466762685726758,True
01397083000167,1,22,4216503,São Joaquim,SC,54872.98,22,16,0.3972133065598983,0.5710187418288565,0.9252499135275686,2.5175390237064064,0.4724961635568989,0.0743801652892562,13.444444444444445,0.3228331412706421,0.6608090760711074,0.6618984138330563,True
