cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita
1300631,144363167.49,144254262.13,144254262.13,20807,0.9992456153332355,0.9992456153332355,6938.20192675542
1500602,754443712.69,739692687.31,721821909.37,135067,0.9804478119018254,0.9567604543966763,5585.699783736961
1501402,5621703163.19,5491630719.07,5474789122.13,1367336,0.9768624489155363,0.9738666313757068,4111.427742113131
1504208,1773067554.1,1633032360.81,1621389850.92,271321,0.9210209487133268,0.914454639458455,6534.944048193836
1505304,458954829.16,453920589.29,432186539.32,76140,0.9890310776787905,0.9416755459595173,6027.775534016286
1508100,795721847.83,774526298.86,756505345.62,90232,0.9733631179943066,0.9507158156874205,8818.621418454652
1702109,1163765368.6,1113347607.6,1067250634.96,186867,0.9566770395817397,0.9170668450496114,6227.773596194084
1705508,253406422.25,236878989.59,235334414.29,33967,0.9347789510887189,0.9286837018590992,7460.371014514088
1709500,716196129.85,686095789.63,675843710.71,83817,0.9579719311994827,0.9436573063464454,8544.759772480524
1714880,72504590.25,69080774.51,67610166.03,10353,0.9527779451177576,0.9324949744130165,7003.244494349464
1718204,453640047.05,444955512.02,397747934.03,71101,0.9808558898481844,0.8767919336410799,6380.22034922153
2101707,364977467.86,364620877.26,360933766.52,69312,0.99902297913871,0.9889206822445512,5265.718315154663
2102002,232580460.09,232571508.93,228853934.66,32894,0.9999615137058524,0.9839774784667724,7070.604368273849
2102325,442382926.04,378083480.03,357362120.05,52395,0.8546520622177309,0.8078117373311273,8443.22790418933
2211001,5119761285.88,4965839285.12,4931466326.02,868523,0.9699357075134523,0.963221925916877,5894.790680131672
2300754,299242247.62,294573423.81,283392565.7,47486,0.9843978454007309,0.9470339430810347,6301.6941334288
2304400,13965276937.07,13789180284.92,13760843623.28,2596157,0.9873903931197697,0.9853613132978879,5379.211248422187
2307254,216556766.64,215538308.23,196753824.62,29472,0.9952970372350772,0.9085554225469203,7347.881604234527
2308708,341803594.37,335852634.02,319135637.83,60940,0.9825895325619128,0.9336813394786536,5608.854518706925
2309300,221488947.98,215299206.37,193253877.32,30518,0.972053948215245,0.8725215369998978,7257.649517661707
2309706,352698103.78,348941345.84,324491245.04,82432,0.989348516763381,0.9200254879805242,4278.65517978455
2311405,496484676.42,491821644.36,459910450.73,78502,0.9906079033624487,0.9263336263392344,6324.484426129271
2314003,213157245.86,202630231.92,197057255.95,38825,0.9506138583395186,0.9244689532131862,5490.205946168706
2403608,311108124.52,292346158.84,284783561.56,61381,0.93969310281129,0.9153845210548088,5068.47598638015
2405702,56375241.99,54787173.74,53471476.66,11623,0.9718303958627496,0.9484921886363683,4850.317645186269
2413805,28403080.09,28248829.89,27947160.24,2333,0.9945692439161095,0.9839482250320971,12174.487822546078
