variaveis,rho,p,n
hhi_norm_vs_log_despesa,0.18707001783436306,1.6446419534051143e-07,772
hhi_norm_vs_log_populacao,0.19870317389475495,2.5825936586436523e-08,772
hhi_norm_vs_log_despesa_per_capita,-0.10012890968310738,0.005359987832067104,772
hhi_norm_vs_procurement_intensity_parcial,0.035372883632082595,0.32632344698980814,772
exposicao_strength_vs_log_despesa,0.09924268699980539,0.00578377173186627,772
exposicao_strength_vs_log_populacao,0.11053945426934875,0.002099526343738991,772
exposicao_strength_vs_log_despesa_per_capita,-0.06290103661387696,0.08070741934295173,772
