fornecedor_id_limpo,degree_global,strength_global,degree_elegivel,strength_elegivel,perda_media_soma,compradores_perda_25,compradores_perda_50,compradores_perda_75,maior_share_comprador,mediana_share_comprador,perda_media_todos_compradores,share_compradores_perda_25,share_compradores_perda_50,share_compradores_perda_75,pct_degree_global,pct_strength_global
27284516000161,31,8042034.8,15.0,4602646.03,6.6028793936289185,11.0,7.0,3.0,0.9219555414598797,0.4597493402322663,0.008465229991831948,0.014102564102564103,0.008974358974358974,0.0038461538461538464,0.98810393404988,0.99405196702494
02760004000101,9,26146790.93,6.0,15741655.120000001,4.120718168233494,5.0,5.0,4.0,0.9890500579675063,0.7893260145566742,0.0052829720105557615,0.00641025641025641,0.00641025641025641,0.005128205128205128,0.9719816341437963,0.9986434310758635
28090609000118,15,2628154.0,14.0,2434954.0,4.355524168905802,6.0,3.0,1.0,0.8646054884698706,0.22952959879780774,0.0055840053447510285,0.007692307692307693,0.0038461538461538464,0.001282051282051282,0.9811123865177919,0.978399248669519
75838979000170,6,809223.38,6.0,809223.38,2.916251537439895,6.0,3.0,0.0,0.6572918075149111,0.5090160157433181,0.00373878402235884,0.007692307692307693,0.0038461538461538464,0.0,0.9612856099342586,0.9406240217051027
19633424000111,59,379218.75,59.0,379218.75,4.806926973783118,9.0,3.0,1.0,0.8891589838885601,0.0030312314634815527,0.006162726889465536,0.011538461538461539,0.0038461538461538464,0.001282051282051282,0.9939476155692372,0.8909527287905666
02618132000107,5,19413350.8296,3.0,12820894.739599999,1.9504142010707253,2.0,2.0,2.0,0.9151662538046609,0.837715587034333,0.0025005310270137505,0.002564102564102564,0.002564102564102564,0.002564102564102564,0.9552332255034958,0.997808619430241
02236721000120,4,14362795.76,2.0,12867795.76,1.7369301815926508,2.0,2.0,2.0,0.9252276397442957,0.8684650907963254,0.002226833566144424,0.002564102564102564,0.002564102564102564,0.002564102564102564,0.9454763643952833,0.9964520505061045
02722566000152,9,6474484.01,7.0,5337472.89,2.1534066905593727,2.0,2.0,2.0,0.8110749112886623,0.18655122125267778,0.002760777808409452,0.002564102564102564,0.002564102564102564,0.002564102564102564,0.9719816341437963,0.991860586455181
28152650000171,3,5607648.02,2.0,5595648.02,1.2566239995594026,2.0,2.0,0.0,0.748340342931351,0.6283119997797013,0.0016110564096915418,0.002564102564102564,0.002564102564102564,0.0,0.9247626004382761,0.9901909631639362
15368182000125,2,2491200.0,2.0,2491200.0,1.364783817992536,2.0,2.0,1.0,0.7538295437688787,0.682391908996268,0.0017497228435801745,0.002564102564102564,0.002564102564102564,0.001282051282051282,0.864499634769905,0.9773557341124909
05035532001826,11,1911242.56,10.0,1760394.04,2.813820669928213,4.0,2.0,0.0,0.6885900745913561,0.19678833773125484,0.0036074623973438628,0.005128205128205128,0.002564102564102564,0.0,0.975686110821246,0.9724512156944589
02180597000129,2,1000880.3999999999,2.0,1000880.3999999999,1.81260817909798,2.0,2.0,2.0,0.9447682423848827,0.90630408954899,0.002323856639869205,0.002564102564102564,0.002564102564102564,0.002564102564102564,0.864499634769905,0.9532505478451424
14752647000184,7,468240.0,4.0,284400.0,1.7396390712127818,3.0,2.0,1.0,0.762975349538082,0.41220138754403096,0.0022303065015548485,0.0038461538461538464,0.002564102564102564,0.001282051282051282,0.9655640196180737,0.9065010956902849
57125353000135,3,155900.0,2.0,146400.0,1.3445550050597368,2.0,2.0,0.0,0.7200720072007201,0.6722775025298684,0.0017237884680253036,0.002564102564102564,0.002564102564102564,0.0,0.9247626004382761,0.7873317332776792
59519603000147,1,315681387.6,1.0,315681387.6,0.6709426832529345,1.0,1.0,0.0,0.6709426832529345,0.6709426832529345,0.000860182927247352,0.001282051282051282,0.001282051282051282,0.0,0.4095272879056663,1.0
03807885000123,1,69582393.36,1.0,69582393.36,0.7129338965428047,1.0,1.0,0.0,0.7129338965428047,0.7129338965428047,0.0009140178160805188,0.001282051282051282,0.001282051282051282,0.0,0.4095272879056663,0.9997912970885944
23097104003500,1,59027173.08,1.0,59027173.08,0.8804211505276508,1.0,1.0,1.0,0.8804211505276508,0.8804211505276508,0.0011287450647790396,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9996869456328916
19455857000124,4,49069268.64,4.0,49069268.64,1.6460740324296976,2.0,1.0,1.0,0.9282376838744921,0.29074782486250983,0.0021103513236278176,0.002564102564102564,0.001282051282051282,0.001282051282051282,0.9454763643952833,0.999478242721486
24127105000174,1,46415876.52,1.0,46415876.52,0.9723539548702909,1.0,1.0,1.0,0.9723539548702909,0.9723539548702909,0.0012466076344490908,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9993738912657831
36830917000160,3,37590869.95,3.0,37590869.95,0.6589018602623847,1.0,1.0,0.0,0.634846350379612,0.01764133392389433,0.000844745974695365,0.001282051282051282,0.001282051282051282,0.0,0.9247626004382761,0.9989564854429719
03422281000169,3,32132100.0,1.0,14605500.0,0.9666179127591844,1.0,1.0,1.0,0.9666179127591844,0.9666179127591844,0.0012392537343066466,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.9247626004382761,0.9988521339872691
03008926000111,6,26962986.1092,3.0,18658614.220000003,1.3986515547515097,2.0,1.0,1.0,0.997568207094371,0.35287579536688346,0.001793143018912192,0.002564102564102564,0.001282051282051282,0.001282051282051282,0.9612856099342586,0.9987477825315663
38086505000193,1,25199960.8,1.0,25199960.8,0.9057794809948211,1.0,1.0,1.0,0.9057794809948211,0.9057794809948211,0.0011612557448651552,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9985390796201608
09142183000154,1,22680000.0,1.0,22680000.0,0.7621018090334903,1.0,1.0,1.0,0.7621018090334903,0.7621018090334903,0.0009770536013249877,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9983303767087551
76545011000119,1,19116000.0,1.0,19116000.0,0.9028452389831418,1.0,1.0,1.0,0.9028452389831418,0.9028452389831418,0.0011574938961322332,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9977042679745383
79841904000108,1,17982000.0,1.0,17982000.0,0.5973071986408278,1.0,1.0,0.0,0.5973071986408278,0.5973071986408278,0.0007657784597959332,0.001282051282051282,0.001282051282051282,0.0,0.4095272879056663,0.9975999165188354
01211210000191,1,15694643.35,1.0,15694643.35,0.9849382209333079,1.0,1.0,1.0,0.9849382209333079,0.9849382209333079,0.0012627413088888563,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9969738077846186
06981176000158,1,15369638.89,1.0,15369638.89,0.8805252705624549,1.0,1.0,1.0,0.8805252705624549,0.8805252705624549,0.0011288785520031472,0.001282051282051282,0.001282051282051282,0.001282051282051282,0.4095272879056663,0.9968694563289158
04172213000151,3,14965937.6,3.0,14965937.6,1.2751826762691034,2.0,1.0,1.0,0.8246620386268834,0.3218580672629898,0.001634849584960389,0.002564102564102564,0.001282051282051282,0.001282051282051282,0.9247626004382761,0.9966607534175101
