fornecedor_id_limpo,degree_global,strength_global,perda_media_todos_compradores,share_compradores_perda_25,share_compradores_perda_50,share_compradores_perda_75
27284516000161,31,8042034.8,0.008465229991831948,0.014102564102564103,0.008974358974358974,0.0038461538461538464
02760004000101,9,26146790.93,0.0052829720105557615,0.00641025641025641,0.00641025641025641,0.005128205128205128
28090609000118,15,2628154.0,0.0055840053447510285,0.007692307692307693,0.0038461538461538464,0.001282051282051282
75838979000170,6,809223.38,0.00373878402235884,0.007692307692307693,0.0038461538461538464,0.0
19633424000111,59,379218.75,0.006162726889465536,0.011538461538461539,0.0038461538461538464,0.001282051282051282
02618132000107,5,19413350.8296,0.0025005310270137505,0.002564102564102564,0.002564102564102564,0.002564102564102564
02236721000120,4,14362795.76,0.002226833566144424,0.002564102564102564,0.002564102564102564,0.002564102564102564
02722566000152,9,6474484.01,0.002760777808409452,0.002564102564102564,0.002564102564102564,0.002564102564102564
28152650000171,3,5607648.02,0.0016110564096915418,0.002564102564102564,0.002564102564102564,0.0
15368182000125,2,2491200.0,0.0017497228435801745,0.002564102564102564,0.002564102564102564,0.001282051282051282
05035532001826,11,1911242.56,0.0036074623973438628,0.005128205128205128,0.002564102564102564,0.0
02180597000129,2,1000880.3999999999,0.002323856639869205,0.002564102564102564,0.002564102564102564,0.002564102564102564
14752647000184,7,468240.0,0.0022303065015548485,0.0038461538461538464,0.002564102564102564,0.001282051282051282
57125353000135,3,155900.0,0.0017237884680253036,0.002564102564102564,0.002564102564102564,0.0
59519603000147,1,315681387.6,0.000860182927247352,0.001282051282051282,0.001282051282051282,0.0
03807885000123,1,69582393.36,0.0009140178160805188,0.001282051282051282,0.001282051282051282,0.0
23097104003500,1,59027173.08,0.0011287450647790396,0.001282051282051282,0.001282051282051282,0.001282051282051282
19455857000124,4,49069268.64,0.0021103513236278176,0.002564102564102564,0.001282051282051282,0.001282051282051282
24127105000174,1,46415876.52,0.0012466076344490908,0.001282051282051282,0.001282051282051282,0.001282051282051282
36830917000160,3,37590869.95,0.000844745974695365,0.001282051282051282,0.001282051282051282,0.0
03422281000169,3,32132100.0,0.0012392537343066466,0.001282051282051282,0.001282051282051282,0.001282051282051282
03008926000111,6,26962986.1092,0.001793143018912192,0.002564102564102564,0.001282051282051282,0.001282051282051282
38086505000193,1,25199960.8,0.0011612557448651552,0.001282051282051282,0.001282051282051282,0.001282051282051282
09142183000154,1,22680000.0,0.0009770536013249877,0.001282051282051282,0.001282051282051282,0.001282051282051282
76545011000119,1,19116000.0,0.0011574938961322332,0.001282051282051282,0.001282051282051282,0.001282051282051282
79841904000108,1,17982000.0,0.0007657784597959332,0.001282051282051282,0.001282051282051282,0.0
01211210000191,1,15694643.35,0.0012627413088888563,0.001282051282051282,0.001282051282051282,0.001282051282051282
06981176000158,1,15369638.89,0.0011288785520031472,0.001282051282051282,0.001282051282051282,0.001282051282051282
04172213000151,3,14965937.6,0.001634849584960389,0.002564102564102564,0.001282051282051282,0.001282051282051282
22648045000290,1,14200000.0,0.0008014654852839649,0.001282051282051282,0.001282051282051282,0.0
17706922000111,1,12322496.0,0.0007493049824654132,0.001282051282051282,0.001282051282051282,0.0
07265515000162,1,11914875.6,0.0007102903533331108,0.001282051282051282,0.001282051282051282,0.0
12260240000104,1,11888000.0,0.0009728205365845677,0.001282051282051282,0.001282051282051282,0.001282051282051282
22788440000198,1,11761722.0,0.0008697516196199416,0.001282051282051282,0.001282051282051282,0.0
10202852000115,1,10745303.97,0.0009215091995804889,0.001282051282051282,0.001282051282051282,0.0
08653578000159,1,10398445.44,0.0012097980848620453,0.001282051282051282,0.001282051282051282,0.001282051282051282
01543032000104,41,8855132.969999999,0.00729655862044349,0.011538461538461539,0.001282051282051282,0.0
05571437000107,1,7849717.44,0.0009235624050474431,0.001282051282051282,0.001282051282051282,0.0
48727071000117,2,7731050.5600000005,0.0013624801483047575,0.001282051282051282,0.001282051282051282,0.001282051282051282
43076702000161,1,7063922.0,0.0012317892142793864,0.001282051282051282,0.001282051282051282,0.001282051282051282
13343833000369,1,5939036.16,0.0007341058464936723,0.001282051282051282,0.001282051282051282,0.0
32269220000101,1,5608800.0,0.0008717663958334051,0.001282051282051282,0.001282051282051282,0.0
01336261000140,4,5275650.86,0.0009121391492670473,0.001282051282051282,0.001282051282051282,0.0
19165984000199,1,5106700.0,0.0009419034370247982,0.001282051282051282,0.001282051282051282,0.0
79065181000194,2,4833744.9,0.0011186587077463978,0.001282051282051282,0.001282051282051282,0.001282051282051282
33611117000160,1,4790998.98,0.0007386276247598199,0.001282051282051282,0.001282051282051282,0.0
44745698000140,1,4387999.88,0.0009725617712953507,0.001282051282051282,0.001282051282051282,0.001282051282051282
93861557000106,1,4342238.4,0.0006826689371118468,0.001282051282051282,0.001282051282051282,0.0
00136858000188,1,4164014.54,0.0007368471871630752,0.001282051282051282,0.001282051282051282,0.0
41602860000182,1,3967761.65,0.000891379023790066,0.001282051282051282,0.001282051282051282,0.0
04949905000163,1,3937129.25,0.000666691144215023,0.001282051282051282,0.001282051282051282,0.0
12925454000152,1,3860000.0,0.0009937259464740846,0.001282051282051282,0.001282051282051282,0.001282051282051282
37779528000110,1,3830000.0,0.001127069932069421,0.001282051282051282,0.001282051282051282,0.001282051282051282
01835288000187,1,3440000.0,0.0007694005083767604,0.001282051282051282,0.001282051282051282,0.0
29886415000196,1,3350000.0,0.0010325233665442416,0.001282051282051282,0.001282051282051282,0.001282051282051282
44848150000125,1,3348038.8,0.0010374490671476101,0.001282051282051282,0.001282051282051282,0.001282051282051282
30721495000109,1,3247200.0,0.0006784622385638642,0.001282051282051282,0.001282051282051282,0.0
54953171000164,1,3108542.04,0.0006587068308632909,0.001282051282051282,0.001282051282051282,0.0
13791885000136,2,3099781.6399999997,0.0011552953772257784,0.001282051282051282,0.001282051282051282,0.001282051282051282
26142511000131,1,3006144.0,0.000803722947358441,0.001282051282051282,0.001282051282051282,0.0
24271119000167,1,3000000.0,0.0011304069985611594,0.001282051282051282,0.001282051282051282,0.001282051282051282
11491331000198,1,2976900.0,0.0009277494218278318,0.001282051282051282,0.001282051282051282,0.0
32321488000145,4,2874005.64,0.0021519200607006384,0.0038461538461538464,0.001282051282051282,0.001282051282051282
75104422000882,3,2866993.6,0.001391023899094171,0.002564102564102564,0.001282051282051282,0.0
80275290000115,1,2836034.64,0.0012247299975045715,0.001282051282051282,0.001282051282051282,0.001282051282051282
04904095000129,1,2834700.0,0.0009052575758150585,0.001282051282051282,0.001282051282051282,0.0
09014469000154,1,2629512.0,0.0007324658606499033,0.001282051282051282,0.001282051282051282,0.0
04540771000122,2,2533003.08,0.0013846121394543497,0.002564102564102564,0.001282051282051282,0.0
17005517000176,1,2499000.0,0.0009525560523638647,0.001282051282051282,0.001282051282051282,0.0
29866886000132,1,2465877.3000000003,0.0007386715065974079,0.001282051282051282,0.001282051282051282,0.0
10391836000118,1,2461800.0,0.0006778131688194549,0.001282051282051282,0.001282051282051282,0.0
36137224000197,3,2443810.8,0.0014369955438858328,0.002564102564102564,0.001282051282051282,0.001282051282051282
39526609000134,1,2442342.45,0.0011967615398849557,0.001282051282051282,0.001282051282051282,0.001282051282051282
31700669000110,1,2439008.0,0.0011937224350302745,0.001282051282051282,0.001282051282051282,0.001282051282051282
07279231000125,1,2436000.0,0.0009402816888333364,0.001282051282051282,0.001282051282051282,0.0
48688944000120,2,2388600.0,0.0010575588773666586,0.001282051282051282,0.001282051282051282,0.001282051282051282
03685110000122,1,2310000.0,0.0011455427541400734,0.001282051282051282,0.001282051282051282,0.001282051282051282
92559830000171,2,2265717.23,0.0008370065164575879,0.001282051282051282,0.001282051282051282,0.0
39534812000152,1,2187405.3499999996,0.0009740311339324976,0.001282051282051282,0.001282051282051282,0.001282051282051282
33214789000132,1,2184603.29,0.0007793396721353447,0.001282051282051282,0.001282051282051282,0.0
