metric,actual,null_mean,null_sd,q025,q50,q975,z,p_empirical_two_sided,q_bh_metrics,triage_flag_q_lt_0_05
freq_sd,44.96572768972683,29.053891263298603,4.220989315571422,21.055333824805764,28.943911276812607,37.6077341272775,3.7696936042289284,0.00039996000399960006,0.001999800019998,True
freq_range,182.0,115.3289,20.82596208725268,79.0,114.0,160.0,3.201345499462355,0.0034996500349965005,0.011665500116655,True
freq_chi2,23.544881125667153,10.037188549247936,2.9029347830472743,5.16246967491509,9.755458515283841,16.469771955361473,4.653116100059229,0.00039996000399960006,0.001999800019998,True
sum_mean,195.16710334788937,195.00336506550218,0.3082283936683854,194.39093158660845,195.0037845705968,195.60553129548762,0.5312238773282763,0.5931406859314069,0.6590452065904521,False
sum_sd,17.88776308931993,18.028857974941143,0.20865010168747802,17.622962637835396,18.02924715307646,18.43621868494797,-0.6762272554870369,0.5051494850514948,0.6590452065904521,False
even_mean,7.205822416302766,7.200138689956331,0.02136991074021693,7.158660844250364,7.2,7.242212518195051,0.26596865169579015,0.7913208679132087,0.7913208679132087,False
prime_mean,5.387190684133915,5.399940669577874,0.02050734430348825,5.360407569141193,5.399708879184861,5.439592430858807,-0.6217277700745502,0.5385461453854614,0.6590452065904521,False
border_mean,9.633187772925764,9.600062270742358,0.02033894286842053,9.560698689956332,9.6,9.64075691411936,1.6286737416839248,0.10788921107889211,0.2697230276972303,False
consecutive_pairs_mean,8.371761280931587,8.400382328966522,0.021047420555103367,8.358951965065502,8.400582241630277,8.441055312954877,-1.359836373298277,0.17378262173782622,0.289637702896377,False
repeat_prev_mean,8.968841001747233,8.999967938264414,0.02075034665690104,8.959522422830519,9.0,9.04076878276063,-1.5000682654537074,0.13508649135086492,0.27017298270172985,False
