estrategia,papel,ranking_scope,pct_fornecedores_removidos,k_fornecedores_removidos,limiar_perda,share_severos_direcionado,share_severos_aleatorio_media,share_severos_aleatorio_p025,share_severos_aleatorio_p975,excesso_vs_aleatorio,perda_media_direcionada,perda_media_aleatoria_media,perda_media_aleatoria_p025,perda_media_aleatoria_p975
strength,principal,global,0.01,273,0.25,0.17643429981492906,0.009557680444170264,0.00431832202344232,0.016656384947563233,0.1668766193707588,0.11581064015626907,0.009996451932005584,0.006749636807944626,0.01464707599952817
strength,principal,global,0.01,273,0.5,0.09623689080814313,0.0030012338062924116,0.0006169031462060457,0.006169031462060457,0.09323565700185071,0.11581064015626907,0.009996451932005584,0.006749636807944626,0.01464707599952817
strength,principal,global,0.01,273,0.75,0.05243676742751388,0.0009438618136952499,0.0,0.0030845157310302285,0.05149290561381863,0.11581064015626907,0.009996451932005584,0.006749636807944626,0.01464707599952817
degree,complementar,global,0.01,273,0.25,0.1270820481184454,0.009557680444170264,0.00431832202344232,0.016656384947563233,0.11752436767427513,0.10077974945306778,0.009996451932005584,0.006749636807944626,0.01464707599952817
degree,complementar,global,0.01,273,0.5,0.08266502159161011,0.0030012338062924116,0.0006169031462060457,0.006169031462060457,0.0796637877853177,0.10077974945306778,0.009996451932005584,0.006749636807944626,0.01464707599952817
degree,complementar,global,0.01,273,0.75,0.05058605798889575,0.0009438618136952499,0.0,0.0030845157310302285,0.0496421961752005,0.10077974945306778,0.009996451932005584,0.006749636807944626,0.01464707599952817
strength,principal,global,0.05,1361,0.25,0.46144355336212217,0.05295311536088834,0.040098704503392965,0.06724244293645898,0.40849043800123386,0.3245348036289215,0.04977676877006888,0.04192882003262639,0.05929464288055897
strength,principal,global,0.05,1361,0.5,0.33806292412091304,0.016576804441702654,0.00987045033929673,0.024059222702035782,0.32148611967921037,0.3245348036289215,0.04977676877006888,0.04192882003262639,0.05929464288055897
strength,principal,global,0.05,1361,0.75,0.19494139420111042,0.005280690931523751,0.001850709438618137,0.009253547193090685,0.18966070326958667,0.3245348036289215,0.04977676877006888,0.04192882003262639,0.05929464288055897
degree,complementar,global,0.05,1361,0.25,0.32634176434299816,0.05295311536088834,0.040098704503392965,0.06724244293645898,0.2733886489821098,0.24078363180160522,0.04977676877006888,0.04192882003262639,0.05929464288055897
degree,complementar,global,0.05,1361,0.5,0.1918568784700802,0.016576804441702654,0.00987045033929673,0.024059222702035782,0.17528007402837756,0.24078363180160522,0.04977676877006888,0.04192882003262639,0.05929464288055897
degree,complementar,global,0.05,1361,0.75,0.11844540407156076,0.005280690931523751,0.001850709438618137,0.009253547193090685,0.11316471314003701,0.24078363180160522,0.04977676877006888,0.04192882003262639,0.05929464288055897
strength,principal,global,0.1,2721,0.25,0.608266502159161,0.11951819864281307,0.09932140653917335,0.14250462677359654,0.4887483035163479,0.4554288983345032,0.09980311038345098,0.08800190053880215,0.1119096327573061
strength,principal,global,0.1,2721,0.5,0.4848858729179519,0.038676742751388035,0.028994447871684145,0.049352251696483655,0.4462091301665638,0.4554288983345032,0.09980311038345098,0.08800190053880215,0.1119096327573061
strength,principal,global,0.1,2721,0.75,0.32757557063541026,0.012536705737199259,0.006785934608266502,0.01850709438618137,0.315038864898211,0.4554288983345032,0.09980311038345098,0.08800190053880215,0.1119096327573061
degree,complementar,global,0.1,2721,0.25,0.47378161628624305,0.11951819864281307,0.09932140653917335,0.14250462677359654,0.35426341764342995,0.3350954055786133,0.09980311038345098,0.08800190053880215,0.1119096327573061
degree,complementar,global,0.1,2721,0.5,0.27760641579272055,0.038676742751388035,0.028994447871684145,0.049352251696483655,0.2389296730413325,0.3350954055786133,0.09980311038345098,0.08800190053880215,0.1119096327573061
degree,complementar,global,0.1,2721,0.75,0.16903146206045652,0.012536705737199259,0.006785934608266502,0.01850709438618137,0.15649475632325727,0.3350954055786133,0.09980311038345098,0.08800190053880215,0.1119096327573061
