orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00204125000133,2704302,Maceió,AL,1,1,1,11400.0,0.0,290.0
00421772000105,5213103,Mineiros,GO,2,2,2,2180.75,0.0,0.0
00460408000146,3110608,Cambuí,MG,2,2,2,50130.0,0.0,0.0
00634997000131,3167202,Sete Lagoas,MG,1,1,1,243360.0,0.0,85.0
00663808000159,5205406,Ceres,GO,1,1,1,354.9,0.0,49.0
00715411000163,3170529,Urucuia,MG,2,2,1,4772.35,0.0,3.5
00734500000157,3551603,Serra Negra,SP,1,1,1,1134.0,0.0,0.0
00955107000193,3543907,Rio Claro,SP,1,1,1,6240.0,0.0,8.0
00999472000108,5220454,Senador Canedo,GO,1,1,1,24000.0,0.0,42.0
01134736000115,3300803,Cachoeiras de Macacu,RJ,2,2,2,211500.0,0.5,10.0
01203660000132,5201306,Anicuns,GO,1,1,1,18000.0,0.0,0.0
01349236000109,4202800,Braço do Norte,SC,5,1,5,62872.53,1.0,1.0
01397083000167,4216503,São Joaquim,SC,23,8,14,20916.73,1.0,1.0
01404511000131,4305108,Caxias do Sul,RS,4,1,4,10299.0,0.0,0.0
01465988000127,5213103,Mineiros,GO,7,7,7,240347.75,0.0,5.0
01494665000161,5209101,Goiatuba,GO,1,1,1,4258.0,0.0,2.0
01600293000100,4214904,Rio Fortuna,SC,1,1,1,236.0,1.0,1.0
01746653000187,4208807,Jaguaruna,SC,28,13,24,41183.9548,1.0,1.0
01815216000178,5218805,Rio Verde,GO,1,1,1,13500.0,0.0,7.0
01823752000115,4208203,Itajaí,SC,4,4,4,12969.4,0.75,1.5
01824828000127,4209409,Laguna,SC,8,4,6,13390.9,1.0,1.0
01850671000104,4203600,Campos Novos,SC,15,11,13,22712.72,1.0,1.0
01877528000106,4202107,Barra Velha,SC,1,1,1,1320.84,1.0,1.0
02073207000111,4206108,Grão-Pará,SC,10,5,10,9888.24,1.0,1.0
02246138000109,3304524,Rio das Ostras,RJ,3,1,1,11340.0,0.0,1.0
02247113000111,4209003,Joaçaba,SC,2,1,2,438.49,1.0,2.0
02316487000141,5213103,Mineiros,GO,2,2,2,13078.4,0.0,9.0
02362976000130,4208203,Itajaí,SC,16,1,16,115500.0,0.0,2.0
02371916000183,5208707,Goiânia,GO,7,7,7,262015018.85000002,0.0,248.0
02399408000103,3200409,Anchieta,ES,1,1,1,9000.0,0.0,3.0
02482295000105,4208450,Itapoá,SC,35,10,23,101768.90000000001,0.8857142857142857,1.0
02524947000127,3301876,Iguaba Grande,RJ,1,1,1,1700.0,0.0,9.0
02624843000194,3306156,Varre-Sai,RJ,1,1,1,37200.0,0.0,10.0
02920909000193,3133709,Itatiaiuçu,MG,123,30,58,810154.15,1.0,46.0
02983473000181,2910800,Feira de Santana,BA,1,1,1,3200.0,0.0,109.0
02994421000100,3143906,Muriaé,MG,3,3,3,198000.0,0.0,7.0
03230443000167,4211702,Orleans,SC,1,1,1,725.0,1.0,2.0
03264792000108,4216206,São Francisco do Sul,SC,15,5,14,40328.44,1.0,1.0
03347877000141,4218509,Treze Tílias,SC,2,2,2,10330.4,1.0,1.0
03347885000198,4218509,Treze Tílias,SC,10,3,6,5850.75,1.0,1.5
03405084000131,3301306,Casimiro de Abreu,RJ,1,1,1,409.16,1.0,0.0
03918310000188,4218202,Timbó,SC,1,1,1,24725.0,0.0,0.0
04124168000160,3135100,Janaúba,MG,1,1,1,183.0,0.0,1.0
04244525000123,5220009,São João d'Aliança,GO,3,1,2,10342.0,0.0,6.0
04402872000137,4212809,Balneário Piçarras,SC,2,1,2,2.0,0.0,0.0
04515660000166,4202404,Blumenau,SC,1,1,1,4900.0,1.0,1.0
04539825000130,3300506,Bom Jardim,RJ,3,2,3,591.0,0.0,2.0
04691691000178,3549805,São José do Rio Preto,SP,2,2,2,5480.0,0.0,0.0
04973965000111,5208707,Goiânia,GO,1,1,1,12000.0,0.0,10.0
04984818000147,4208203,Itajaí,SC,1,1,1,15200.0,1.0,1.0
05002371000126,4219309,Videira,SC,2,1,2,295.46,1.0,1.5
05002963000148,5213103,Mineiros,GO,1,1,1,500.0,0.0,14.0
05055033000152,1501402,Belém,PA,4,1,2,46997.759999999995,0.0,29.0
05322930000185,4205902,Gaspar,SC,1,1,1,25008.0,0.0,3.0
05341649000190,1506187,Rondon do Pará,PA,1,1,1,6354.0,0.0,34.0
05472936000139,4208203,Itajaí,SC,1,1,1,1039000.0,0.0,1.0
05522917000170,2211001,Teresina,PI,7,3,7,185113.74,0.0,11.0
05532421000187,4209300,Lages,SC,9,5,8,1181587.3,0.8888888888888888,1.0
05587823000189,3550308,São Paulo,SP,3,3,3,28258.2,0.3333333333333333,32.0
05593119000139,5204508,Caldas Novas,GO,8,1,8,270865.8,0.0,9.0
05631155000140,2109007,Porto Franco,MA,1,1,1,25932.0,0.0,9.0
05806495000164,5211909,Jataí,GO,1,1,1,8909.6,1.0,9.0
05864543000170,2604601,Condado,PE,1,1,1,12000.0,0.0,141.0
05921795000194,5213103,Mineiros,GO,1,1,1,1589.47,0.0,9.0
06073250000138,4207106,Ilhota,SC,5,5,5,3868.28,1.0,1.0
06089125000116,4207908,Irineópolis,SC,4,3,4,4212.4,1.0,1.5
06091010000166,2917706,Jaguarari,BA,2,2,2,2043.33,1.0,149.0
06129491000151,5208509,Goiandira,GO,5,3,5,10744.0,0.0,0.0
06231312000192,4209409,Laguna,SC,26,14,22,66103.39,1.0,1.0
