orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00309037000104,5102678,Campo Verde,MT,1,1,1,28500.0,0.0,21.0
00421772000105,5213103,Mineiros,GO,2,2,2,289.41999999999996,0.0,2.5
00460408000146,3110608,Cambuí,MG,1,1,1,28000.0,0.0,8.0
00909972000101,4205407,Florianópolis,SC,1,1,1,117280.0,1.0,1.0
00955107000193,3543907,Rio Claro,SP,5,5,4,22898.1,0.0,0.0
01071994000108,4120358,Pranchita,PR,1,1,1,75600.0,0.0,0.0
01404511000131,4305108,Caxias do Sul,RS,4,3,3,463800.0,0.0,1.0
01465988000127,5213103,Mineiros,GO,5,4,5,310515.6,0.0,1.0
01600293000100,4214904,Rio Fortuna,SC,15,4,6,7976.89,1.0,1.0
01648573000199,3303955,Pinheiral,RJ,1,1,1,1000000.0,0.0,3.0
01743462000161,4210605,Massaranduba,SC,7,3,5,1390.4,1.0,1.0
01744089000163,4216206,São Francisco do Sul,SC,1,1,1,19200.0,0.0,0.0
01746653000187,4208807,Jaguaruna,SC,8,6,6,8848.24,1.0,2.0
01815216000178,5218805,Rio Verde,GO,5,3,5,191718.0,0.0,1.0
01823752000115,4208203,Itajaí,SC,1,1,1,3281179.92,1.0,4.0
01824828000127,4209409,Laguna,SC,5,2,3,940.4300000000001,1.0,1.0
01850671000104,4203600,Campos Novos,SC,2,2,2,564.8,1.0,2.0
01877528000106,4202107,Barra Velha,SC,4,1,4,4618.906,1.0,1.0
01935036000120,4207304,Imbituba,SC,1,1,1,2450.0,1.0,1.0
01941360000150,4203303,Campo Alegre,SC,2,1,2,823.9000000000001,1.0,3.0
02073207000111,4206108,Grão-Pará,SC,9,5,8,2607.02,1.0,2.0
02180700000130,4215802,São Bento do Sul,SC,1,1,1,538.0,1.0,1.0
02318396000145,3143906,Muriaé,MG,1,1,1,25399.8,0.0,1.0
02362976000130,4208203,Itajaí,SC,1,1,1,210000.0,0.0,15.0
02482295000105,4208450,Itapoá,SC,16,9,12,33814.2,1.0,1.0
02524947000127,3301876,Iguaba Grande,RJ,1,1,1,300000.0,0.0,17.0
02581343000112,3506359,Bertioga,SP,1,1,1,8786.0,0.0,1.0
02762633000162,2914802,Itabuna,BA,3,3,3,277308.30000000005,0.0,3.0
02920909000193,3133709,Itatiaiuçu,MG,38,12,35,158712.38999999998,0.7368421052631579,14.5
03061303000102,3500105,Adamantina,SP,1,1,1,18800.0,0.0,2.0
03230443000167,4211702,Orleans,SC,5,4,4,3422.06,1.0,1.0
03264792000108,4216206,São Francisco do Sul,SC,9,5,6,91439.27,1.0,1.0
03347885000198,4218509,Treze Tílias,SC,5,5,5,1922.38,1.0,1.0
03405084000131,3301306,Casimiro de Abreu,RJ,1,1,1,108548.0,0.0,0.0
03587308000173,5205109,Catalão,GO,1,1,1,57600.0,0.0,218.0
03752747000194,4215703,Santo Amaro da Imperatriz,SC,2,2,2,1534.2,1.0,1.5
04244525000123,5220009,São João d'Aliança,GO,5,4,4,361682.3,0.0,3.0
04249257000132,3304706,Santo Antônio de Pádua,RJ,1,1,1,5799669.96,0.0,242.0
04316867000101,1100403,Alto Paraíso,RO,1,1,1,300000.0,1.0,283.0
04380911000142,1100122,Ji-Paraná,RO,1,1,1,250000.0,1.0,2.0
04515660000166,4202404,Blumenau,SC,5,2,5,7585.24,1.0,2.0
04691691000178,3549805,São José do Rio Preto,SP,2,2,2,5640.0,0.0,1.0
04786328000136,5221858,Valparaíso de Goiás,GO,6,1,6,614695.0,0.0,37.0
04815319000126,5205208,Caturaí,GO,1,1,1,2950.0,0.0,3.0
04816835000175,4211900,Palhoça,SC,1,1,1,9450.0,0.0,0.0
04867429000131,3300100,Angra dos Reis,RJ,2,2,2,3436000.0,0.0,138.0
04927953000150,4215802,São Bento do Sul,SC,1,1,1,599.93,1.0,1.0
05009757000160,3533908,Olímpia,SP,1,1,1,600.0,0.0,4.0
05029092000156,4203907,Capinzal,SC,25,10,19,178652.68,1.0,2.0
05055033000152,1501402,Belém,PA,1,1,1,180000.0,0.0,0.0
05102937000191,4303509,Camaquã,RS,1,1,1,11750.0,0.0,3.0
05522917000170,2211001,Teresina,PI,4,2,4,1065996.0,0.0,9.5
05532421000187,4209300,Lages,SC,1,1,1,38000.0,0.0,1.0
05593119000139,5204508,Caldas Novas,GO,3,1,2,604800.0,0.0,16.0
05607916000128,1400100,Boa Vista,RR,1,1,1,70560.0,0.0,176.0
05921795000194,5213103,Mineiros,GO,2,2,2,14900.0,0.0,2.0
06068796000109,2918407,Juazeiro,BA,2,2,1,108399.0,0.0,31.5
06073250000138,4207106,Ilhota,SC,8,4,8,10247.61,1.0,1.0
06089125000116,4207908,Irineópolis,SC,22,4,15,25010.847,1.0,1.0
06113056000139,2804805,Nossa Senhora do Socorro,SE,2,2,2,4353085.4399999995,0.0,11.5
06129491000151,5208509,Goiandira,GO,4,1,4,25238.45,0.0,0.0
06217954000137,2101707,Barreirinhas,MA,2,2,2,2178405.0,0.0,47.5
06231312000192,4209409,Laguna,SC,9,6,7,41913.72,1.0,1.0
07222467000125,5210000,Inhumas,GO,22,2,22,460204.8,0.8181818181818182,3.0
07252975000156,3106200,Belo Horizonte,MG,1,1,1,5277.0,0.0,0.0
07276220000191,3106200,Belo Horizonte,MG,3,2,3,49763.0,0.0,0.0
07408808000151,5204508,Caldas Novas,GO,1,1,1,20000.0,0.0,0.0
07420613000127,3550308,São Paulo,SP,2,2,2,210960.0,0.5,195.0
07556717000163,5212501,Luziânia,GO,2,1,1,1459.92,0.0,1.0
07733382000101,4206702,Herval d'Oeste,SC,1,1,1,10755.0,0.0,1.0
07748322000162,5220009,São João d'Aliança,GO,1,1,1,359.0,0.0,1.0
07750478000188,3551702,Sertãozinho,SP,2,1,1,211.6,0.0,7.0
07777639000127,5210109,Ipameri,GO,10,5,5,120204.7,0.0,7.0
07790808000169,4218004,Tijucas,SC,1,1,1,2613.6,0.0,1.0
07791947000107,5206909,Davinópolis,GO,1,1,1,168000.0,0.0,43.0
07854402000100,4202008,Balneário Camboriú,SC,9,4,6,996003.44,0.7777777777777778,1.0
07865433000159,4119905,Ponta Grossa,PR,10,1,10,68268.29,0.0,8.0
07918201000111,1502400,Castanhal,PA,8,1,8,871572.2,0.0,29.0
08083086000175,5203302,Bela Vista de Goiás,GO,1,1,1,16403.33,0.0,2.0
08184785000101,4209102,Joinville,SC,13,4,9,17649.97,1.0,1.0
08184821000137,4209102,Joinville,SC,12,4,9,380844.53,1.0,0.0
08259606000158,4208203,Itajaí,SC,2,2,2,18337.1,1.0,1.5
08281643000162,4215802,São Bento do Sul,SC,31,11,19,67928.73,1.0,1.0
08289417000128,4212304,Paulo Lopes,SC,8,4,6,4640.87,1.0,2.0
08345495000100,4201307,Araquari,SC,4,3,3,13727.14,1.0,1.5
08435209000190,4204608,Criciúma,SC,5,2,4,8333.58,1.0,2.0
08438054000145,4201109,Anitápolis,SC,1,1,1,249.4,1.0,1.0
08451635000117,2412005,São Gonçalo do Amarante,RN,8,7,8,778965.58,0.0,8.5
08595042000124,4203600,Campos Novos,SC,1,1,1,367.3,1.0,2.0
08692266000154,4203709,Canelinha,SC,5,5,4,8818.22,1.0,1.0
08857731000160,4206009,Governador Celso Ramos,SC,3,1,3,13580.635,1.0,2.0
08858200000191,4211504,Nova Trento,SC,6,2,5,17454.209,1.0,1.0
08935681000191,4205407,Florianópolis,SC,3,1,3,23190.36,1.0,1.0
08999257000100,4202305,Biguaçu,SC,10,5,9,18119.96,1.0,2.0
09206510000194,3303609,Paracambi,RJ,3,3,2,1220012.54,0.0,2.0
09509569000151,4313409,Novo Hamburgo,RS,2,2,2,850540.75,0.0,1.0
09522642000125,4214300,Rancho Queimado,SC,5,3,5,4250.86,1.0,1.0
09579148000105,3537107,Pedreira,SP,4,2,3,28310.25,0.0,8.0
09626556000162,3526902,Limeira,SP,1,1,1,11900.0,0.0,3.0
10157678000136,4218707,Tubarão,SC,1,1,1,1471.52,1.0,1.0
10295311000189,2304459,Fortim,CE,2,2,2,51024.1,0.0,6.5
10324957000147,4202131,Bela Vista do Toldo,SC,8,4,8,10026.4125,1.0,1.0
10391817000191,4204004,Catanduvas,SC,42,12,22,26967.66,1.0,2.0
10396929000135,4219507,Xanxerê,SC,3,2,3,7208.46,1.0,1.0
10422587000180,4216354,São João do Itaperiú,SC,1,1,1,349.698,1.0,1.0
10429180000185,4209854,Lindóia do Sul,SC,4,2,4,8248.7,1.0,2.0
10432684000154,4219309,Videira,SC,3,3,3,452377.38,0.3333333333333333,2.0
10455823000165,4204301,Concórdia,SC,5,5,5,132570.43,0.8,1.0
10459525000143,4202008,Balneário Camboriú,SC,9,5,8,13555.54,1.0,1.0
10465435000165,4219101,Vargeão,SC,18,4,12,20207.761,1.0,1.0
10467921000112,1500602,Altamira,PA,1,1,1,1869434.12,0.0,114.0
10469199000155,4214805,Rio do Sul,SC,6,5,6,2575.775,1.0,1.0
10472663000162,5211701,Jandaia,GO,1,1,1,19900.0,0.0,10.0
10478051000187,4208609,Jaborá,SC,1,1,1,1050.0,1.0,4.0
10480777000154,2608008,Jataúba,PE,1,1,1,33440.0,0.0,7.0
10481963000108,4200754,Alto Bela Vista,SC,5,3,5,1116.3,1.0,1.0
10488181000109,2610905,Pesqueira,PE,1,1,1,19500.0,0.0,10.0
10491693000116,4210100,Mafra,SC,1,1,1,3780000.0,0.0,3.0
10496698000131,4205308,Faxinal dos Guedes,SC,15,7,10,7298.025,1.0,1.0
10532003000120,4200101,Abelardo Luz,SC,24,11,21,27584.5,1.0,1.0
