categoria,n
Compras,3872
Serviços,1028
Serviços de Saúde,68
Obras,35
Serviços de Engenharia,31
Locação Imóveis,23
Informática (TIC),9
Cessão,3
Mão de Obra,2
Alienação de bens móveis/imóveis,1
