orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00343828000142,4101150,Ângulo,PR,1,1,1,23700.0,0.0,6.0
00536717000152,3200300,Alfredo Chaves,ES,1,1,1,30000.0,0.0,3.0
00941254000104,3302106,Itaocara,RJ,1,1,1,12000.0,0.0,15.0
00955107000193,3543907,Rio Claro,SP,2,1,1,8115.0,0.0,39.0
00999472000108,5220454,Senador Canedo,GO,8,2,8,300000.0,0.0,49.0
01280363000190,4209102,Joinville,SC,5,4,4,61671.53,0.0,0.0
01282378000198,4217105,São Martinho,SC,4,1,2,886.3,1.0,1.0
01294821000140,4219002,Urussanga,SC,2,2,2,76605.6,0.5,22.0
01349236000109,4202800,Braço do Norte,SC,9,1,6,14605.567,1.0,1.0
01397083000167,4216503,São Joaquim,SC,10,9,9,10181.74,0.9,2.0
01404511000131,4305108,Caxias do Sul,RS,10,3,3,12377.5,0.0,5.0
01465988000127,5213103,Mineiros,GO,7,6,7,262071.28,0.0,5.0
01494665000161,5209101,Goiatuba,GO,1,1,1,8370.0,0.0,6.0
01600293000100,4214904,Rio Fortuna,SC,2,2,2,1203.0900000000001,1.0,3.0
01823752000115,4208203,Itajaí,SC,3,2,2,3754.8199999999997,1.0,1.0
01850671000104,4203600,Campos Novos,SC,15,7,7,21003.73,1.0,4.0
01941360000150,4203303,Campo Alegre,SC,4,2,4,6004.995,1.0,1.0
02246138000109,3304524,Rio das Ostras,RJ,5,2,2,39050.0,0.0,4.0
02247113000111,4209003,Joaçaba,SC,1,1,1,2379.08,1.0,1.0
02307876000100,4215703,Santo Amaro da Imperatriz,SC,1,1,1,2050200.0,0.0,1.0
02316487000141,5213103,Mineiros,GO,4,3,3,186210.07,0.0,3.0
02318396000145,3143906,Muriaé,MG,2,2,2,300513.15,0.0,1.0
02406542000194,4215802,São Bento do Sul,SC,1,1,1,329.7,1.0,3.0
02482295000105,4208450,Itapoá,SC,16,8,10,125465.3,1.0,1.0
02533645000115,2700300,Arapiraca,AL,1,1,1,7790.0,0.0,1.0
02581343000112,3506359,Bertioga,SP,6,6,6,23039.0,0.0,47.0
02762633000162,2914802,Itabuna,BA,1,1,1,6750.0,0.0,0.0
03230443000167,4211702,Orleans,SC,11,9,10,16569.19,1.0,1.0
03347885000198,4218509,Treze Tílias,SC,8,6,7,2604.33,1.0,1.0
03587269000104,5201306,Anicuns,GO,1,1,1,20600.0,0.0,0.0
04124168000160,3135100,Janaúba,MG,1,1,1,12070.0,0.0,21.0
04244525000123,5220009,São João d'Aliança,GO,51,8,32,371674.78,0.0,0.0
04336959000153,5219308,Santa Helena de Goiás,GO,1,1,1,4500.0,1.0,103.0
04603063000193,2704302,Maceió,AL,1,1,1,245000.0,0.0,21.0
04691691000178,3549805,São José do Rio Preto,SP,18,14,13,1917675.19,0.0,16.0
04776218000193,5211909,Jataí,GO,2,2,1,3427.09,0.0,3.0
04846427000166,5206404,Crixás,GO,20,11,10,48770.64,0.0,18.0
04927847000177,5220454,Senador Canedo,GO,1,1,1,22839.6,0.0,1.0
04939180000122,3303203,Nilópolis,RJ,1,1,1,0.01,0.0,11.0
05002371000126,4219309,Videira,SC,5,3,5,1147.04,1.0,1.0
05002419000104,3503802,Artur Nogueira,SP,1,1,1,2679000.0,0.0,7.0
05002963000148,5213103,Mineiros,GO,1,1,1,10920.0,0.0,4.0
05009757000160,3533908,Olímpia,SP,1,1,1,1610.0,0.0,8.0
05029092000156,4203907,Capinzal,SC,5,3,4,1807192.06,0.6,9.0
05055033000152,1501402,Belém,PA,2,2,2,5446244.33,0.0,0.5
05140677000149,4204608,Criciúma,SC,1,1,1,60000.0,0.0,12.0
05196025000126,3110103,Caiana,MG,1,1,1,42848.04,0.0,1.0
05244336000113,2611606,Recife,PE,1,1,1,32300.0,0.0,0.0
05301040000197,5007695,São Gabriel do Oeste,MS,1,1,1,54350.0,0.0,13.0
05322181000196,5219258,Santa Fé de Goiás,GO,1,1,1,19040.0,0.0,14.0
05380490000112,3510005,Cândido Mota,SP,1,1,1,2352.0,0.0,7.0
05472936000139,4208203,Itajaí,SC,1,1,1,12117.0,0.0,7.0
