categoria,n
Compras,2834
Serviços,772
Serviços de Saúde,96
Cessão,28
Locação Imóveis,24
Serviços de Engenharia,23
Obras,17
Informática (TIC),9
Mão de Obra,3
Alienação de bens móveis/imóveis,1
