orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00091238000170,4208906,Jaraguá do Sul,SC,1,1,1,100300.0,0.0,13.0
00343828000142,4101150,Ângulo,PR,1,1,1,5220.0,0.0,382.0
00426641000102,3113206,Carandaí,MG,2,2,2,27000.0,0.0,2.0
00536717000152,3200300,Alfredo Chaves,ES,1,1,1,12335.5,0.0,5.0
00715411000163,3170529,Urucuia,MG,1,1,1,48000.0,0.0,18.0
01282378000198,4217105,São Martinho,SC,11,7,7,130616.54,1.0,1.0
01335616000186,3519071,Hortolândia,SP,1,1,1,991.0,0.0,15.0
01349236000109,4202800,Braço do Norte,SC,4,1,3,7606.42,1.0,4.0
01404511000131,4305108,Caxias do Sul,RS,5,3,4,533874.0,0.0,2.0
01465988000127,5213103,Mineiros,GO,15,11,14,331929.63,0.0,7.0
01494665000161,5209101,Goiatuba,GO,4,4,3,207066.5,0.0,36.5
01600293000100,4214904,Rio Fortuna,SC,2,1,2,1252.56,1.0,1.0
01648573000199,3303955,Pinheiral,RJ,3,2,3,99889.2,0.0,13.0
01746653000187,4208807,Jaguaruna,SC,35,6,27,85754.4993,1.0,2.0
01815216000178,5218805,Rio Verde,GO,7,5,7,1206721.12,0.0,5.0
01877528000106,4202107,Barra Velha,SC,2,2,2,1813628.19,0.5,0.0
01896727000161,4210803,Meleiro,SC,1,1,1,42000.0,0.0,4.0
01941360000150,4203303,Campo Alegre,SC,16,3,16,61129.2004,1.0,1.0
02073207000111,4206108,Grão-Pará,SC,7,2,6,1452.99,1.0,1.0
02246138000109,3304524,Rio das Ostras,RJ,1,1,1,5301.0,0.0,0.0
02316487000141,5213103,Mineiros,GO,1,1,1,83.11,0.0,1.0
02318396000145,3143906,Muriaé,MG,1,1,1,8985.0,0.0,1.0
02362976000130,4208203,Itajaí,SC,45,1,45,693760.0,0.0,8.0
02524947000127,3301876,Iguaba Grande,RJ,1,1,1,4450.0,0.0,20.0
02571926000162,5220009,São João d'Aliança,GO,1,1,1,6800.0,0.0,5.0
02581343000112,3506359,Bertioga,SP,2,1,1,2489.02,0.0,14.0
02694244000147,5000609,Amambai,MS,1,1,1,7800.0,0.0,355.0
02920909000193,3133709,Itatiaiuçu,MG,4,1,4,86176.0,0.0,33.0
02994421000100,3143906,Muriaé,MG,3,3,3,47375.0,0.0,0.0
03061303000102,3500105,Adamantina,SP,1,1,1,194322.8,0.0,0.0
03230443000167,4211702,Orleans,SC,15,11,13,56217.030000000006,1.0,1.0
03264792000108,4216206,São Francisco do Sul,SC,8,4,8,25707.025,1.0,1.0
03347885000198,4218509,Treze Tílias,SC,15,7,11,6858.09,1.0,1.0
03532661000156,5205109,Catalão,GO,1,1,1,15900.0,0.0,208.0
03918310000188,4218202,Timbó,SC,6,2,6,77845.0,0.0,0.0
03937163000193,4202107,Barra Velha,SC,1,1,1,765.93,1.0,0.0
04244525000123,5220009,São João d'Aliança,GO,13,8,10,46555.06,0.0,4.0
04338442000101,5213103,Mineiros,GO,2,2,2,81011.97,0.0,4.0
04402872000137,4212809,Balneário Piçarras,SC,1,1,1,658156.0,0.0,0.0
04539825000130,3300506,Bom Jardim,RJ,1,1,1,1356.0,0.0,1.0
04691691000178,3549805,São José do Rio Preto,SP,20,11,20,6463803.73,0.0,27.0
04729502000109,3541406,Presidente Prudente,SP,3,2,3,2003.0,0.0,3.0
04776218000193,5211909,Jataí,GO,3,3,2,5792.5,0.0,0.0
04815319000126,5205208,Caturaí,GO,1,1,1,1214.0,0.0,4.0
04846427000166,5206404,Crixás,GO,14,4,10,47037.95,0.0,49.5
04894677000171,4202909,Brusque,SC,1,1,1,33100.0,0.0,4.0
04902949000138,5200308,Alexânia,GO,1,1,1,1118.1,0.0,29.0
05002371000126,4219309,Videira,SC,1,1,1,106.7,1.0,1.0
05009757000160,3533908,Olímpia,SP,1,1,1,18600.0,0.0,8.0
05019327000129,5201603,Araçu,GO,1,1,1,16500.0,0.0,14.0
05029092000156,4203907,Capinzal,SC,6,4,6,1796264.1300000001,0.8333333333333334,4.0
05050052000196,2800308,Aracaju,SE,1,1,1,56000.0,0.0,0.0
05054229000122,5200134,Acreúna,GO,1,1,1,1133.69,0.0,0.0
05055033000152,1501402,Belém,PA,2,1,1,1537.76,0.0,17.0
05056936000158,5213004,Maurilândia,GO,2,2,2,8400.0,0.0,27.0
05156411000194,2914703,Itaberaba,BA,1,1,1,26000.0,0.0,45.0
05211356000198,3550407,São Pedro,SP,6,6,3,12999.45,0.0,3.0
05472936000139,4208203,Itajaí,SC,1,1,1,262485.0,0.0,1.0
05478139000169,4208104,Itaiópolis,SC,1,1,1,9750.0,0.0,1.0
05532421000187,4209300,Lages,SC,1,1,1,639925.0,0.0,204.0
05593119000139,5204508,Caldas Novas,GO,1,1,1,14400.0,0.0,17.0
05604369000127,3550308,São Paulo,SP,1,1,1,1986.75,0.0,49.0
05722202000160,2306900,Jaguaribe,CE,2,1,2,57208.61,0.0,0.0
05782177000100,2601706,Belo Jardim,PE,1,1,1,2321.45,0.0,51.0
05806495000164,5211909,Jataí,GO,1,1,1,7332.82,0.0,41.0
05921795000194,5213103,Mineiros,GO,2,2,2,17812.03,0.0,3.5
06068089000104,5107958,Tangará da Serra,MT,1,1,1,1998.0,0.0,370.0
06088862000102,3147105,Pará de Minas,MG,1,1,1,900.0,0.0,12.0
06089125000116,4207908,Irineópolis,SC,4,3,4,4339.28,1.0,4.0
06129491000151,5208509,Goiandira,GO,3,3,3,1641.0,0.0,0.0
06139152000156,4211900,Palhoça,SC,1,1,1,335000.0,0.0,14.0
06217954000137,2101707,Barreirinhas,MA,1,1,1,1349619.0,0.0,25.0
06231312000192,4209409,Laguna,SC,1,1,1,1499.95,1.0,6.0
06894325000141,4202107,Barra Velha,SC,1,1,1,6119.26,1.0,0.0
07104377000130,3507902,Brotas,SP,12,6,10,35751.78,0.0,5.0
07222467000125,5210000,Inhumas,GO,16,4,9,46534.78,0.5,4.0
07276220000191,3106200,Belo Horizonte,MG,1,1,1,27500.0,0.0,20.0
07381646000105,3540606,Porto Feliz,SP,6,5,5,23035.45,0.0,15.0
07420613000127,3550308,São Paulo,SP,13,9,12,85803.03,0.0,78.0
07505809000114,4106902,Curitiba,PR,5,5,5,937645.0,0.0,32.0
07556717000163,5212501,Luziânia,GO,5,2,2,20255.0,0.0,1.0
07585406000122,4216305,São João Batista,SC,2,1,2,63238.9,1.0,1.0
07622498000173,2604155,Casinhas,PE,3,3,3,24000.0,0.0,21.0
07633040000110,4202107,Barra Velha,SC,2,2,2,23302.28,0.5,0.0
07676836000150,2308708,Morada Nova,CE,3,3,3,126846.5,0.0,21.0
07711512000105,3140001,Mariana,MG,1,1,1,15400.0,0.0,17.0
07748322000162,5220009,São João d'Aliança,GO,1,1,1,2000.0,0.0,4.0
07750478000188,3551702,Sertãozinho,SP,17,13,12,120842.79000000001,0.0,15.0
07777639000127,5210109,Ipameri,GO,2,2,2,78084.0,0.0,6.0
07789410000102,4207502,Indaial,SC,3,3,3,12433.8,1.0,1.0
07825719000100,4216305,São João Batista,SC,1,1,1,9127.2,1.0,1.0
07861802000135,5210208,Iporá,GO,1,1,1,12000.0,0.0,88.0
07919295000143,2303709,Caucaia,CE,1,1,1,434791.9,0.0,4.0
08082743000160,3550308,São Paulo,SP,1,1,1,1347.75,1.0,4.0
08083086000175,5203302,Bela Vista de Goiás,GO,6,4,4,246471.95,0.0,1.5
08184785000101,4209102,Joinville,SC,2,1,1,1462.4,1.0,1.0
08184821000137,4209102,Joinville,SC,5,3,5,1827430.5899999999,1.0,1.0
08281643000162,4215802,São Bento do Sul,SC,5,4,5,43851.9,1.0,1.0
08289417000128,4212304,Paulo Lopes,SC,5,3,4,4348.48,1.0,1.0
08345495000100,4201307,Araquari,SC,44,6,22,199947.811,0.9772727272727273,1.0
08351513000159,5204003,Cabeceiras,GO,19,4,19,864939.1,0.0,21.0
08361788000173,4216305,São João Batista,SC,1,1,1,90729.0,1.0,1.0
08438054000145,4201109,Anitápolis,SC,13,5,10,8667.615,1.0,1.0
08595042000124,4203600,Campos Novos,SC,13,9,9,18327.55,1.0,1.0
08595187000125,2903201,Barreiras,BA,2,2,2,90330.0,0.0,2.0
08692266000154,4203709,Canelinha,SC,1,1,1,100.152,1.0,4.0
08712299000119,5204003,Cabeceiras,GO,2,2,2,19526.4,0.0,18.5
08715618000140,2507507,João Pessoa,PB,15,3,15,3212065.1,0.0,2.0
08806043000170,4216909,São Lourenço do Oeste,SC,3,1,2,1789.04,1.0,1.0
08806721000103,2507507,João Pessoa,PB,4,4,4,2789766.12,0.0,104.0
08857731000160,4206009,Governador Celso Ramos,SC,10,6,9,39598.28,1.0,4.0
08858200000191,4211504,Nova Trento,SC,24,7,16,16555.145,1.0,1.0
08885069000151,4127700,Toledo,PR,1,1,1,2936.0,0.0,1.0
08931506000126,4128104,Umuarama,PR,21,18,21,2584406.6,0.0,20.0
08971900000198,4217253,São Pedro de Alcântara,SC,3,3,3,25976.0,1.0,1.0
08999257000100,4202305,Biguaçu,SC,1,1,1,215.6,1.0,6.0
09097711000109,5220454,Senador Canedo,GO,1,1,1,367200.0,0.0,5.0
09240588000125,4218707,Tubarão,SC,13,3,10,361969.12,1.0,1.0
09332615000190,5203807,Britânia,GO,11,9,9,73419.29000000001,0.0,4.0
09356616000174,2504009,Campina Grande,PB,2,1,1,11411.25,1.0,6.0
09403680000169,3550704,São Sebastião,SP,5,5,5,44430.0,0.0,83.0
09509569000151,4313409,Novo Hamburgo,RS,1,1,1,169708.0,0.0,2.0
09522642000125,4214300,Rancho Queimado,SC,6,5,6,13555.24,1.0,4.0
09579148000105,3537107,Pedreira,SP,9,5,9,41133.35,0.2222222222222222,21.0
10295311000189,2304459,Fortim,CE,1,1,1,52190.0,0.0,5.0
10316445000139,2600401,Água Preta,PE,2,2,2,193852.51,0.0,9.0
10319517000100,2805604,Porto da Folha,SE,2,2,2,150000.0,0.0,101.5
10324957000147,4202131,Bela Vista do Toldo,SC,10,6,10,43062.58,0.9,1.0
10377912000130,4215000,Rio Negrinho,SC,14,7,9,16929.350000000002,1.0,4.0
10391817000191,4204004,Catanduvas,SC,38,8,22,19638.166,1.0,1.5
10396929000135,4219507,Xanxerê,SC,7,2,4,25390.02,1.0,4.0
10429180000185,4209854,Lindóia do Sul,SC,1,1,1,665.8,1.0,1.0
10441099000110,4219606,Xavantina,SC,4,2,4,6440.5,1.0,1.0
10455823000165,4204301,Concórdia,SC,2,2,2,4772.099999999999,1.0,4.0
10459525000143,4202008,Balneário Camboriú,SC,15,7,14,613699.12,1.0,1.0
10465435000165,4219101,Vargeão,SC,8,3,6,7309.54,1.0,1.0
10465644000109,5201702,Aragarças,GO,1,1,1,44000.0,0.0,30.0
10469199000155,4214805,Rio do Sul,SC,12,7,11,33405.12,1.0,1.0
10472663000162,5211701,Jandaia,GO,1,1,1,38400.0,0.0,48.0
10476288000129,5220603,Silvânia,GO,167,9,162,3580719.6,0.0,118.0
10478051000187,4208609,Jaborá,SC,1,1,1,719.88,1.0,4.0
10481963000108,4200754,Alto Bela Vista,SC,1,1,1,160.88,1.0,6.0
10490261000190,4205209,Erval Velho,SC,1,1,1,4149.97,0.0,5.0
10496025000181,5221007,Taquaral de Goiás,GO,5,2,5,422993.16000000003,0.0,27.0
10518108000124,2300754,Amontada,CE,5,1,5,10012.1,1.0,41.0
10519243000194,4312153,Mato Leitão,RS,1,1,1,5160.0,1.0,0.0
10540697000147,4205456,Forquilhinha,SC,20,2,18,246467.8092,1.0,1.0
10551277000166,3203403,Mimoso do Sul,ES,5,4,4,67948.15,0.0,25.0
10552903000139,4204905,Descanso,SC,6,3,6,11443.99,1.0,2.0
10564533000150,5210307,Israelândia,GO,13,2,9,19510.760000000002,0.0,14.0
10565436000181,4217006,São Ludgero,SC,4,2,3,5105.38,1.0,4.0
10594533000100,4209003,Joaçaba,SC,8,6,6,286969.92,0.875,1.0
10624466000111,4202206,Benedito Novo,SC,7,5,7,80246.13,0.8571428571428571,29.0
10628610000198,2608909,Limoeiro,PE,8,2,8,51950.0,0.125,4.0
10631880000158,4207205,Imaruí,SC,28,2,13,25288.53,1.0,1.0
10635089000116,2927408,Salvador,BA,3,2,3,1002642.9400000001,0.0,4.0
10698251000145,4218400,Treze de Maio,SC,1,1,1,7445.0,1.0,0.0
10700103000118,3203007,Iúna,ES,1,1,1,55861.68,0.0,0.0
10701551000136,5200803,Alvorada do Norte,GO,3,3,3,19491.28,0.0,4.0
10714485000139,4200606,Águas Mornas,SC,7,4,7,5024.88,1.0,1.0
10721741000115,4213500,Porto Belo,SC,1,1,1,120000.0,0.0,0.0
10721828000192,4213500,Porto Belo,SC,1,1,1,304.1,0.0,0.0
10759024000182,5210307,Israelândia,GO,2,2,2,12720.0,0.0,9.5
10778201000178,2300754,Amontada,CE,5,1,5,8226.32,1.0,41.0
10778974000154,4212403,Pedras Grandes,SC,5,1,4,2778.3496,1.0,1.0
10788473000159,4207106,Ilhota,SC,3,2,3,335.26,1.0,4.0
10817032000138,4208104,Itaiópolis,SC,3,2,3,171580.0,0.0,0.0
10971858000157,4203956,Capivari de Baixo,SC,29,9,21,29989.183,1.0,1.0
11111771000172,5205406,Ceres,GO,118,8,46,439427.8,0.0,38.0
11149280000110,5200506,Aloândia,GO,1,1,1,2845.0,0.0,1.0
11166368000140,5217708,Pontalina,GO,1,1,1,594900.0,0.0,34.0
11168270000122,5215702,Palmeiras de Goiás,GO,9,1,9,178607.24,0.0,6.0
11179871000130,5210901,Itapaci,GO,1,1,1,65500.0,0.0,54.0
11208059000196,2607109,Ingazeira,PE,12,5,7,543845.4,0.0,5.0
11214458000160,4216602,São José,SC,25,3,19,313959.114,1.0,2.0
11224030000106,4205605,Galvão,SC,7,6,7,11564.68,1.0,1.0
11231203000105,4210605,Massaranduba,SC,4,4,4,4702.52,1.0,3.0
11232665000147,5200506,Aloândia,GO,6,4,5,20162.95,0.0,5.5
11241709000103,4201703,Ascurra,SC,10,3,6,9123.168,1.0,1.0
11243552000147,4200804,Anchieta,SC,1,1,1,342.0,1.0,1.0
11252074000131,4206603,Guarujá do Sul,SC,20,1,13,77885.37,1.0,4.0
11265919000123,4205001,Dionísio Cerqueira,SC,1,1,1,2700.0,1.0,1.0
11268671000154,5212303,Leopoldo de Bulhões,GO,1,1,1,135000.0,0.0,25.0
11272232000115,4211454,Nova Itaberaba,SC,1,1,1,140250.0,0.0,0.0
11279755000193,5218904,Rubiataba,GO,1,1,1,37800.0,0.0,6.0
11285282000137,5003306,Coxim,MS,3,2,3,60000.0,0.0,6.0
11290422000165,4202081,Bandeirante,SC,1,1,1,2040.32,1.0,1.0
11291694000180,5001003,Aparecida do Taboado,MS,1,1,1,1530000.0,0.0,0.0
11293409000160,4206504,Guaramirim,SC,5,4,5,20317.18,1.0,4.0
11299998000193,4212056,Palmeira,SC,2,1,2,6464.58,1.0,1.0
11303923000139,4205803,Garuva,SC,2,1,1,1298.0,1.0,4.0
11307015000113,5219100,Santa Bárbara de Goiás,GO,1,1,1,245.0,0.0,3.0
11307776000175,4203501,Campo Erê,SC,1,1,1,1798.0,1.0,1.0
11310394000109,4212205,Papanduva,SC,17,8,13,14556.73,1.0,1.0
11312086000104,4314407,Pelotas,RS,2,1,2,84000.0,0.0,14.0
11313552000176,2414902,Viçosa,RN,1,1,1,8000.0,0.0,0.0
11315213000129,5219308,Santa Helena de Goiás,GO,6,6,6,302284.41000000003,0.3333333333333333,46.5
11319184000173,5205703,Córrego do Ouro,GO,3,3,3,52737.0,0.0,14.0
11320964000133,5209705,Hidrolândia,GO,17,8,15,100544.63,0.23529411764705882,19.0
11323964000197,4211850,Ouro Verde,SC,37,5,28,36726.822199999995,1.0,1.0
11323985000102,4219705,Xaxim,SC,16,5,13,56817.842,1.0,1.0
11324516000108,5207808,Firminópolis,GO,2,2,2,16870.0,0.0,43.0
11328700000126,5200134,Acreúna,GO,1,1,1,10434.56,0.0,6.0
11329956000158,4207700,Ipumirim,SC,7,1,7,33891.7954,1.0,1.0
11344805000179,5221452,Trombas,GO,28,22,20,324082.63,0.0,47.0
11344960000195,4206306,Guabiruba,SC,7,2,5,5419.02,1.0,1.0
11355483000163,4207502,Indaial,SC,8,5,8,21436.7,1.0,1.0
11355924000127,4206405,Guaraciaba,SC,1,1,1,131.5,1.0,5.0
11356696000100,3204906,São Mateus,ES,1,1,1,802462.37,0.0,182.0
11359214000175,4216909,São Lourenço do Oeste,SC,12,4,10,4991.18,1.0,1.0
11359904000124,1705508,Colinas do Tocantins,TO,1,1,1,27000.0,0.0,5.0
11360515000119,4215687,Santa Terezinha do Progresso,SC,2,1,2,1100.0,0.0,0.0
11370658000101,2806701,São Cristóvão,SE,2,2,2,202436.4,0.5,-137.0
