categoria,n
Compras,2859
Serviços,732
Serviços de Saúde,72
Locação Imóveis,27
Serviços de Engenharia,19
Cessão,18
Obras,14
Informática (TIC),13
Internacional,2
Mão de Obra,2
Alienação de bens móveis/imóveis,1
