orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00204125000133,2704302,Maceió,AL,1,1,1,3740.0,0.0,6.0
00426641000102,3113206,Carandaí,MG,1,1,1,21000.0,0.0,10.0
00444435000125,3201308,Cariacica,ES,6,6,6,165642.04,0.16666666666666666,47.5
00634997000131,3167202,Sete Lagoas,MG,2,2,2,810096.0,0.0,108.5
00652007000198,4211256,Morro Grande,SC,1,1,1,20000.0,1.0,2.0
00955107000193,3543907,Rio Claro,SP,4,3,2,3431154.8099999996,0.0,3.5
00999472000108,5220454,Senador Canedo,GO,3,2,3,2314223.0,0.0,14.0
01280363000190,4209102,Joinville,SC,2,2,2,9000.0,0.0,1.5
01282378000198,4217105,São Martinho,SC,1,1,1,2268.75,1.0,1.0
01335616000186,3519071,Hortolândia,SP,1,1,1,9591.52,0.0,27.0
01349236000109,4202800,Braço do Norte,SC,10,1,9,48107.130000000005,1.0,1.0
01397083000167,4216503,São Joaquim,SC,9,4,7,3396.2200000000003,1.0,1.0
01404511000131,4305108,Caxias do Sul,RS,3,3,3,2946.0,0.0,8.0
01465988000127,5213103,Mineiros,GO,6,4,4,64648.0,0.0,5.0
01494665000161,5209101,Goiatuba,GO,1,1,1,5980.0,0.0,4.0
01600293000100,4214904,Rio Fortuna,SC,7,2,6,1838.53,1.0,0.0
01610999000153,4203303,Campo Alegre,SC,2,2,2,581.5999999999999,1.0,1.0
01746653000187,4208807,Jaguaruna,SC,25,8,21,34198.86,1.0,1.0
01815216000178,5218805,Rio Verde,GO,2,2,2,61757.75,0.0,10.0
01850671000104,4203600,Campos Novos,SC,18,4,12,21319.649999999998,1.0,1.0
01877528000106,4202107,Barra Velha,SC,2,2,2,150250.0,0.5,0.0
01896727000161,4210803,Meleiro,SC,1,1,1,150.4,1.0,5.0
01941360000150,4203303,Campo Alegre,SC,1,1,1,2909.28,1.0,1.0
02073207000111,4206108,Grão-Pará,SC,12,5,11,17362.8,1.0,1.0
02180700000130,4215802,São Bento do Sul,SC,1,1,1,108.0,1.0,1.0
02246138000109,3304524,Rio das Ostras,RJ,1,1,1,190292.2,0.0,0.0
02247113000111,4209003,Joaçaba,SC,1,1,1,13045.0,1.0,0.0
02256983000157,3204708,São Gabriel da Palha,ES,1,1,1,22380.0,0.0,22.0
02316487000141,5213103,Mineiros,GO,1,1,1,53996.0,0.0,0.0
02396675000127,4218004,Tijucas,SC,11,1,9,42876.93,1.0,1.0
02406542000194,4215802,São Bento do Sul,SC,6,3,4,3739.91,1.0,0.0
02458148000108,2514453,São José dos Ramos,PB,3,3,3,53400.0,0.0,85.0
02482295000105,4208450,Itapoá,SC,35,9,18,80792.38,1.0,1.0
02701029000126,3514106,Dois Córregos,SP,2,1,2,17470.14,0.0,2.0
02762633000162,2914802,Itabuna,BA,3,3,3,258464.4,0.0,13.0
03183869000107,3531100,Mongaguá,SP,1,1,1,12307.4,0.0,3.0
03230443000167,4211702,Orleans,SC,3,2,3,3900.0,1.0,2.0
03264792000108,4216206,São Francisco do Sul,SC,9,8,9,127038.41,0.8888888888888888,1.0
03347885000198,4218509,Treze Tílias,SC,9,5,8,10973.97,1.0,1.0
03387174000147,5211909,Jataí,GO,1,1,1,4300.0,0.0,0.0
03918310000188,4218202,Timbó,SC,1,1,1,91768.5,1.0,0.0
03937163000193,4202107,Barra Velha,SC,1,1,1,111000.0,0.0,0.0
04106469000160,3512209,Conchal,SP,1,1,1,1052.3,0.0,0.0
