categoria,n
Compras,3057
Serviços,769
Serviços de Saúde,176
Obras,29
Cessão,28
Locação Imóveis,28
Serviços de Engenharia,9
Informática (TIC),6
Mão de Obra,2
Alienação de bens móveis/imóveis,1
