categoria,n
Compras,3398
Serviços,680
Serviços de Saúde,117
Locação Imóveis,41
Informática (TIC),26
Obras,17
Cessão,11
Serviços de Engenharia,9
Mão de Obra,4
Alienação de bens móveis/imóveis,1
