orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00204125000133,2704302,Maceió,AL,6,2,6,22859.93,0.0,7.0
00460408000146,3110608,Cambuí,MG,3,3,3,24192.0,0.0,2.0
00569168000112,4215653,Santa Rosa do Sul,SC,1,1,1,100.46,1.0,6.0
00734500000157,3551603,Serra Negra,SP,1,1,1,32400.0,0.0,0.0
00955107000193,3543907,Rio Claro,SP,3,2,3,129009.09,0.0,8.0
00999472000108,5220454,Senador Canedo,GO,7,2,7,2772000.0,0.0,63.0
01335616000186,3519071,Hortolândia,SP,1,1,1,805.14,0.0,20.0
01349236000109,4202800,Braço do Norte,SC,8,1,6,45780.09,1.0,1.0
01357325000199,4204202,Chapecó,SC,1,1,1,2491431.12,1.0,0.0
01397083000167,4216503,São Joaquim,SC,3,3,3,5917.82,0.6666666666666666,1.0
01465988000127,5213103,Mineiros,GO,7,6,7,95584.82,0.0,20.0
01494665000161,5209101,Goiatuba,GO,2,2,2,69780.2,0.0,8.0
01600293000100,4214904,Rio Fortuna,SC,1,1,1,139.0,1.0,6.0
01610999000153,4203303,Campo Alegre,SC,1,1,1,108.5,1.0,7.0
01746653000187,4208807,Jaguaruna,SC,24,11,20,71607.36,1.0,1.0
01850671000104,4203600,Campos Novos,SC,2,2,2,219660.0,0.5,4.5
01877528000106,4202107,Barra Velha,SC,2,2,2,335497.5,0.0,0.0
01941360000150,4203303,Campo Alegre,SC,10,6,7,15173.14,1.0,6.0
02073207000111,4206108,Grão-Pará,SC,5,1,5,4974.968,1.0,1.0
02299772000100,4216602,São José,SC,3,3,3,7225.99,1.0,1.0
02482295000105,4208450,Itapoá,SC,3,2,2,1970.4,1.0,6.0
02701029000126,3514106,Dois Córregos,SP,1,1,1,12900.0,0.0,1.0
03230443000167,4211702,Orleans,SC,14,6,12,21618.4,1.0,2.0
03264792000108,4216206,São Francisco do Sul,SC,28,11,20,125377.42,1.0,1.0
03331692000149,2914703,Itaberaba,BA,2,2,2,94000.0,0.0,20.0
03347885000198,4218509,Treze Tílias,SC,24,8,15,26943.057,1.0,1.0
03532661000156,5205109,Catalão,GO,2,2,2,82500.0,0.0,16.0
03587308000173,5205109,Catalão,GO,2,2,2,6207.0,0.0,1.0
03717851000148,5105606,Matupá,MT,4,4,4,130930.05,0.0,31.5
03918310000188,4218202,Timbó,SC,3,3,3,121000.0,0.0,0.0
04106469000160,3512209,Conchal,SP,1,1,1,550.0,0.0,0.0
04124168000160,3135100,Janaúba,MG,2,1,2,79591.43,0.0,5.0
04244525000123,5220009,São João d'Aliança,GO,6,1,6,10267.710000000001,0.0,20.0
04691691000178,3549805,São José do Rio Preto,SP,1,1,1,54600.0,0.0,22.0
04729502000109,3541406,Presidente Prudente,SP,14,1,7,5226.95,0.0,15.0
04755519000130,3543402,Ribeirão Preto,SP,1,1,1,7802977.88,0.0,23.0
04764154000100,3202256,Governador Lindenberg,ES,1,1,1,15132.0,0.0,0.0
04846427000166,5206404,Crixás,GO,12,3,12,72888.0,0.0,60.0
04927953000150,4215802,São Bento do Sul,SC,1,1,1,0.01,0.0,14.0
05002371000126,4219309,Videira,SC,1,1,1,152.64,1.0,7.0
