categoria,n
Compras,1448
Serviços,369
Serviços de Saúde,121
Serviços de Engenharia,12
Locação Imóveis,11
Obras,9
Cessão,6
Mão de Obra,4
Informática (TIC),3
Alienação de bens móveis/imóveis,2
