orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00204125000133,2704302,Maceió,AL,3,3,3,72530.79,0.0,2.0
00262940000159,3102308,Alvinópolis,MG,1,1,1,38486.0,1.0,133.0
00421772000105,5213103,Mineiros,GO,13,3,7,1933.08,0.0,1.0
00460408000146,3110608,Cambuí,MG,3,1,3,6459.55,0.0,6.0
00569168000112,4215653,Santa Rosa do Sul,SC,5,3,4,3263.35,1.0,4.0
00634997000131,3167202,Sete Lagoas,MG,2,2,2,4555875.72,0.0,117.5
00879976000186,4115804,Medianeira,PR,34,16,29,1651142.97,0.0,51.0
00955107000193,3543907,Rio Claro,SP,2,2,1,5576.0,0.0,0.5
00999472000108,5220454,Senador Canedo,GO,1,1,1,24000.0,0.0,16.0
01197548000136,3301009,Campos dos Goytacazes,RJ,4,3,4,172939.6,0.0,244.0
01203660000132,5201306,Anicuns,GO,1,1,1,24509.5,0.0,0.0
01210830000106,1709500,Gurupi,TO,2,2,2,975390.41,0.0,1.0
01282378000198,4217105,São Martinho,SC,1,1,1,946.94,1.0,1.0
01335616000186,3519071,Hortolândia,SP,1,1,1,12248.0,0.0,21.0
01349236000109,4202800,Braço do Norte,SC,3,1,1,323.28,1.0,4.0
01393989000103,5208707,Goiânia,GO,3,2,3,98850.99,0.0,1.0
01404511000131,4305108,Caxias do Sul,RS,4,4,4,55116.0,0.0,1.0
01420402000108,1504208,Marabá,PA,1,1,1,15500.0,0.0,0.0
01465988000127,5213103,Mineiros,GO,4,2,4,41600.53,0.0,0.0
01494665000161,5209101,Goiatuba,GO,1,1,1,80000.0,0.0,421.0
01743462000161,4210605,Massaranduba,SC,1,1,1,365.7,1.0,1.0
01746653000187,4208807,Jaguaruna,SC,19,9,16,20959.9749,1.0,1.0
01815216000178,5218805,Rio Verde,GO,2,2,2,3264500.0,0.0,3.0
01823752000115,4208203,Itajaí,SC,1,1,1,75000.0,0.0,29.0
01824828000127,4209409,Laguna,SC,5,3,3,12033.43,1.0,2.0
01850671000104,4203600,Campos Novos,SC,20,6,16,6014.75,1.0,1.0
01851875000160,4201406,Araranguá,SC,1,1,1,10485.9,1.0,7.0
01877528000106,4202107,Barra Velha,SC,2,2,2,11599.0,1.0,0.5
01896727000161,4210803,Meleiro,SC,2,2,2,831.0,1.0,1.5
01906118000146,3205010,Sooretama,ES,1,1,1,12325.97,0.0,1.0
01933030000113,1100304,Vilhena,RO,1,1,1,978249.95,0.0,60.0
01935036000120,4207304,Imbituba,SC,6,1,4,1321.22,1.0,4.0
01941360000150,4203303,Campo Alegre,SC,6,4,4,24676.24,1.0,3.0
01977854000195,5220702,Sítio d'Abadia,GO,6,4,4,13679.77,0.0,43.5
02073207000111,4206108,Grão-Pará,SC,15,8,13,523434.58999999997,0.8,1.0
02180700000130,4215802,São Bento do Sul,SC,1,1,1,12823.19,0.0,0.0
02246138000109,3304524,Rio das Ostras,RJ,1,1,1,11100.0,0.0,0.0
02316487000141,5213103,Mineiros,GO,4,4,4,27047.03,0.0,0.5
02318116000107,2211001,Teresina,PI,3,3,2,199553.0,0.6666666666666666,29.0
02362976000130,4208203,Itajaí,SC,4,1,4,28000.0,0.0,2.0
02406542000194,4215802,São Bento do Sul,SC,1,1,1,8172.35,1.0,22.0
02454641000141,4205506,Fraiburgo,SC,1,1,1,161993.88,0.0,168.0
02482295000105,4208450,Itapoá,SC,8,4,5,73335.87999999999,1.0,2.0
02694244000147,5000609,Amambai,MS,1,1,1,3360.0,0.0,1.0
02920909000193,3133709,Itatiaiuçu,MG,12,4,12,108543.63,0.3333333333333333,6.0
02994421000100,3143906,Muriaé,MG,8,1,8,70580.72,0.0,21.0
03183869000107,3531100,Mongaguá,SP,1,1,1,666000.0,0.0,377.0
03230443000167,4211702,Orleans,SC,8,4,8,5203208.0,0.5,1.0
03264792000108,4216206,São Francisco do Sul,SC,6,3,4,9600.48,1.0,3.0
03311730000100,3201209,Cachoeiro de Itapemirim,ES,1,1,1,9000.0,0.0,2.0
03347877000141,4218509,Treze Tílias,SC,7,5,5,2157.1,1.0,1.0
03347885000198,4218509,Treze Tílias,SC,13,10,13,9895.27,1.0,1.0
03405084000131,3301306,Casimiro de Abreu,RJ,2,1,2,3221.9,0.0,6.5
03608586000160,4113700,Londrina,PR,1,1,1,150000.0,1.0,1.0
03842931000125,4208203,Itajaí,SC,2,2,2,24463.09,1.0,3.0
04122069000149,3157807,Santa Luzia,MG,1,1,1,58945.0,0.0,10.0
04244525000123,5220009,São João d'Aliança,GO,4,4,4,77099.0,0.0,1.5
04402872000137,4212809,Balneário Piçarras,SC,1,1,1,1.0,0.0,1.0
04407139000105,5217609,Planaltina,GO,4,3,4,90363.61,0.0,0.0
04529388000173,4212809,Balneário Piçarras,SC,1,1,1,80000.0,0.0,0.0
04539825000130,3300506,Bom Jardim,RJ,5,1,5,1936.96,0.0,2.0
04691691000178,3549805,São José do Rio Preto,SP,10,6,8,272349.8,0.0,0.0
04816835000175,4211900,Palhoça,SC,1,1,1,3826.8,0.0,1.0
04841899000126,3549805,São José do Rio Preto,SP,1,1,1,760.0,0.0,2.0
04973965000111,5208707,Goiânia,GO,1,1,1,707490.81,0.0,1.0
05002963000148,5213103,Mineiros,GO,4,1,1,1144.43,0.0,2.0
05029092000156,4203907,Capinzal,SC,15,9,12,113799.606,0.9333333333333333,1.0
05054229000122,5200134,Acreúna,GO,1,1,1,3369.85,0.0,0.0
05106805000138,5204805,Campo Alegre de Goiás,GO,13,1,4,61798.2,0.0,1.0
05127965000163,1100130,Machadinho D'Oeste,RO,1,1,1,20500.0,0.0,2.0
05211356000198,3550407,São Pedro,SP,8,7,6,29065.38,0.0,16.0
05322181000196,5219258,Santa Fé de Goiás,GO,2,1,1,24000.0,0.0,177.0
05472936000139,4208203,Itajaí,SC,4,3,4,1219823.26,0.0,6.0
05509957000181,5200803,Alvorada do Norte,GO,1,1,1,21000.0,0.0,28.0
05529895000170,3550308,São Paulo,SP,2,1,2,611126.6,0.0,14.5
05587823000189,3550308,São Paulo,SP,2,2,2,540000.0,0.0,81.0
05593119000139,5204508,Caldas Novas,GO,4,1,4,295399.68,0.0,7.0
05665754000184,3171303,Viçosa,MG,1,1,1,59400.0,0.0,2.0
05774805000106,4216602,São José,SC,1,1,1,188.34,1.0,4.0
06059056000106,5204508,Caldas Novas,GO,1,1,1,13500.0,0.0,0.0
06068089000104,5107958,Tangará da Serra,MT,2,1,2,14044.08,0.0,1.0
06083793000136,3305109,São João de Meriti,RJ,1,1,1,21580.0,0.0,8.0
06089125000116,4207908,Irineópolis,SC,18,4,15,16765.53,1.0,1.0
06129491000151,5208509,Goiandira,GO,10,4,9,15327.349999999999,0.0,0.0
06217954000137,2101707,Barreirinhas,MA,1,1,1,62000.0,0.0,26.0
06231312000192,4209409,Laguna,SC,5,3,5,5729.24,1.0,4.0
06698248000154,3201506,Colatina,ES,1,1,1,51396.2567,0.0,13.0
06894325000141,4202107,Barra Velha,SC,1,1,1,1557.36,1.0,0.0
06916689000185,3509502,Campinas,SP,1,1,1,1410000.0,0.0,3.0
07095193000150,2302602,Camocim,CE,1,1,1,6311.45,0.0,0.0
