orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00094350000164,5005707,Naviraí,MS,1,1,1,14610.0,0.0,338.0
00426641000102,3113206,Carandaí,MG,1,1,1,1140.0,0.0,3.0
00460408000146,3110608,Cambuí,MG,1,1,1,13580.0,0.0,17.0
00634997000131,3167202,Sete Lagoas,MG,1,1,1,637434.13,0.0,91.0
00955107000193,3543907,Rio Claro,SP,6,1,6,110280.0,0.0,21.0
00999472000108,5220454,Senador Canedo,GO,3,1,3,120000.0,0.0,9.0
01280363000190,4209102,Joinville,SC,1,1,1,2700.0,0.0,1.0
01349236000109,4202800,Braço do Norte,SC,6,2,6,14715.921,1.0,1.5
01357347000159,4204202,Chapecó,SC,1,1,1,17537.5,0.0,0.0
01393989000103,5208707,Goiânia,GO,2,2,2,83565.0,0.0,11.0
01420402000108,1504208,Marabá,PA,2,2,2,53055.12,1.0,5.5
01600293000100,4214904,Rio Fortuna,SC,16,2,7,1885.12,1.0,1.0
01605008000144,3145109,Nova Resende,MG,1,1,1,18216.0,0.0,4.0
01743462000161,4210605,Massaranduba,SC,1,1,1,1331.6,1.0,1.0
01746653000187,4208807,Jaguaruna,SC,18,11,17,17372.23,1.0,1.0
01824828000127,4209409,Laguna,SC,2,2,1,102000.0,0.0,73.0
01877528000106,4202107,Barra Velha,SC,3,3,3,199955.9,0.0,0.0
01906118000146,3205010,Sooretama,ES,1,1,1,16500.0,0.0,2.0
01941360000150,4203303,Campo Alegre,SC,4,2,3,15886.42,1.0,2.0
02061040000179,4203600,Campos Novos,SC,10,6,7,5746.67,1.0,1.0
02246328000118,5005004,Jardim,MS,1,1,1,90000.0,0.0,4.0
02316487000141,5213103,Mineiros,GO,1,1,1,11500.0,0.0,0.0
02362976000130,4208203,Itajaí,SC,6,1,6,40500.0,0.0,1.5
02482295000105,4208450,Itapoá,SC,7,3,6,725257.66,0.8571428571428571,1.0
02548293000171,3201209,Cachoeiro de Itapemirim,ES,1,1,1,10200.0,0.0,1.0
02762633000162,2914802,Itabuna,BA,3,2,3,840000.0,0.0,14.0
02920909000193,3133709,Itatiaiuçu,MG,1,1,1,163834.5,0.0,2.0
03230443000167,4211702,Orleans,SC,12,8,11,15595.699999999999,1.0,1.0
03264792000108,4216206,São Francisco do Sul,SC,3,2,2,6704.3,1.0,3.0
03347885000198,4218509,Treze Tílias,SC,60,15,34,47115.0396,1.0,1.0
03383321000100,4204301,Concórdia,SC,2,2,2,1382.16,1.0,1.5
03587269000104,5201306,Anicuns,GO,1,1,1,7670.0,0.0,1.0
03852808000195,5205455,Cezarina,GO,1,1,1,35000.0,0.0,4.0
