orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00091238000170,4208906,Jaraguá do Sul,SC,1,1,1,69500.0,0.0,16.0
00421772000105,5213103,Mineiros,GO,2,2,2,1473.88,0.0,1.0
00465786000112,4106407,Cornélio Procópio,PR,1,1,1,3528.0,0.0,2.0
00955107000193,3543907,Rio Claro,SP,2,2,2,1606.65,0.0,7.5
01071994000108,4120358,Pranchita,PR,7,1,7,484808.95999999996,0.0,0.0
01282378000198,4217105,São Martinho,SC,4,4,4,4415.35,0.75,1.0
01397083000167,4216503,São Joaquim,SC,2,2,2,477.94,1.0,1.5
01404511000131,4305108,Caxias do Sul,RS,2,2,2,2382.0,0.0,4.5
01465988000127,5213103,Mineiros,GO,12,11,12,8946.64,0.0,9.0
01494665000161,5209101,Goiatuba,GO,1,1,1,11950.0,0.0,6.0
01600293000100,4214904,Rio Fortuna,SC,2,2,2,1355.9,1.0,1.5
01648573000199,3303955,Pinheiral,RJ,1,1,1,54600.0,0.0,15.0
01746653000187,4208807,Jaguaruna,SC,1,1,1,668.7,1.0,2.0
01815216000178,5218805,Rio Verde,GO,11,3,11,1962350.84,0.0,16.0
01850671000104,4203600,Campos Novos,SC,9,7,9,21067.34,1.0,1.0
01877528000106,4202107,Barra Velha,SC,1,1,1,18281.16,1.0,0.0
01896727000161,4210803,Meleiro,SC,2,2,2,6406.29,1.0,2.0
01933030000113,1100304,Vilhena,RO,2,2,2,19995.0,0.0,37.0
01935036000120,4207304,Imbituba,SC,22,7,17,14835.05,1.0,1.0
01941360000150,4203303,Campo Alegre,SC,13,8,12,22500.929999999997,1.0,2.0
02073207000111,4206108,Grão-Pará,SC,13,7,13,14257.6,1.0,1.0
02180700000130,4215802,São Bento do Sul,SC,1,1,1,42000.0,0.0,1.0
02307876000100,4215703,Santo Amaro da Imperatriz,SC,1,1,1,42000.0,0.0,3.0
02316487000141,5213103,Mineiros,GO,1,1,1,45994.08,0.0,2.0
02362976000130,4208203,Itajaí,SC,1,1,1,1500.0,0.0,56.0
02396675000127,4218004,Tijucas,SC,3,3,3,1087.42,1.0,1.0
02482295000105,4208450,Itapoá,SC,2,2,2,3954.0,1.0,3.0
02762633000162,2914802,Itabuna,BA,7,2,7,1769528.75,0.0,4.0
02920909000193,3133709,Itatiaiuçu,MG,6,1,6,65169.5,0.0,1.5
02925027000110,5002704,Campo Grande,MS,1,1,1,230750.0,0.0,305.0
03230443000167,4211702,Orleans,SC,29,15,24,36165.61,1.0,1.0
03264792000108,4216206,São Francisco do Sul,SC,9,5,7,156908.96,1.0,1.0
03347885000198,4218509,Treze Tílias,SC,16,8,12,3851.5299999999997,1.0,1.0
03702217000131,5107602,Rondonópolis,MT,2,2,2,863574.88,0.0,3.0
03717851000148,5105606,Matupá,MT,1,1,1,4700.0,0.0,24.0
03845124000166,4207106,Ilhota,SC,11,7,9,10297.89,1.0,1.0
04015843000112,3113305,Carangola,MG,1,1,1,1800.0,0.0,2.0
04249257000132,3304706,Santo Antônio de Pádua,RJ,2,2,2,9648056.4,0.0,23.5
04543783000100,3305000,São João da Barra,RJ,2,2,2,205045.44,0.0,66.5
04691691000178,3549805,São José do Rio Preto,SP,4,4,4,15158.439999999999,0.0,0.0
04786328000136,5221858,Valparaíso de Goiás,GO,2,2,2,2762535.67,0.0,41.0
04816835000175,4211900,Palhoça,SC,1,1,1,3278.86,0.0,0.0
04828495000100,5211909,Jataí,GO,1,1,1,1126.0,1.0,3.0
04830099000100,3132503,Itamarandiba,MG,6,3,3,46981.12,0.0,74.5
04841899000126,3549805,São José do Rio Preto,SP,1,1,1,10535.13,0.0,0.0
04849697000120,2503209,Cabedelo,PB,1,1,1,216000.0,0.0,38.0
04973965000111,5208707,Goiânia,GO,1,1,1,101115.0,0.0,7.0
05002963000148,5213103,Mineiros,GO,1,1,1,1109.01,0.0,3.0
05004744000106,5203203,Barro Alto,GO,1,1,1,45543.96,0.0,115.0
05029092000156,4203907,Capinzal,SC,17,6,15,48187.36,1.0,1.0
05055033000152,1501402,Belém,PA,1,1,1,308912.5,0.0,10.0
05106805000138,5204805,Campo Alegre de Goiás,GO,13,1,10,98500.0,0.0,18.0
05121894000191,3126109,Formiga,MG,2,2,2,20870.25,0.0,2.0
05196025000126,3110103,Caiana,MG,1,1,1,10000.0,0.0,0.0
05491593000150,2921708,Morro do Chapéu,BA,1,1,1,3491.22,0.0,0.0
05522917000170,2211001,Teresina,PI,5,1,5,1384582.83,0.0,11.0
05579739000113,3550308,São Paulo,SP,3,3,3,596991.09,0.0,45.0
05587823000189,3550308,São Paulo,SP,6,6,5,1881416.25,0.0,36.0
05593119000139,5204508,Caldas Novas,GO,3,1,3,124478.76000000001,0.0,3.0
05658440000154,3550308,São Paulo,SP,1,1,1,721.0,0.0,22.0
05806495000164,5211909,Jataí,GO,1,1,1,27068.0,0.0,1.0
06016527000190,5107602,Rondonópolis,MT,1,1,1,300000.0,0.0,52.0
06068796000109,2918407,Juazeiro,BA,1,1,1,54000.0,0.0,42.0
06073250000138,4207106,Ilhota,SC,4,4,4,13460.37,1.0,1.5
06091010000166,2917706,Jaguarari,BA,3,2,3,33037.67,1.0,120.0
06217954000137,2101707,Barreirinhas,MA,4,3,3,727170.1,0.0,33.0
06231312000192,4209409,Laguna,SC,6,4,4,20924.4,1.0,1.0
06252986000173,3556701,Vinhedo,SP,4,4,3,4323074.699999999,0.0,27.5
06894325000141,4202107,Barra Velha,SC,1,1,1,23148.0,1.0,0.0
07095193000150,2302602,Camocim,CE,1,1,1,29000.0,0.0,2.0
07104377000130,3507902,Brotas,SP,58,37,37,381339.44999999995,0.0,47.5
07222467000125,5210000,Inhumas,GO,4,3,4,174447.89,0.0,4.5
07252975000156,3106200,Belo Horizonte,MG,1,1,1,101190.7,0.0,6.0
07337989000172,5002704,Campo Grande,MS,1,1,1,4344176.46,0.0,246.0
07349637000137,4202008,Balneário Camboriú,SC,1,1,1,59800.0,0.0,11.0
07420613000127,3550308,São Paulo,SP,1,1,1,10374000.0,0.0,171.0
07556356000155,3526803,Lençóis Paulista,SP,1,1,1,424.0,0.0,31.0
07622504000192,2604155,Casinhas,PE,1,1,1,60459.19,0.0,0.0
07633040000110,4202107,Barra Velha,SC,1,1,1,5148.36,1.0,0.0
07777639000127,5210109,Ipameri,GO,8,5,5,117124.0,0.0,1.0
07777646000129,3503307,Araras,SP,1,1,1,84000.0,0.0,17.0
07821223000169,4202404,Blumenau,SC,2,1,2,114018.24,1.0,1.0
07854402000100,4202008,Balneário Camboriú,SC,5,3,3,53978.8,0.8,1.0
08036438000131,2515302,Sapé,PB,1,1,1,48000.0,0.0,0.0
08184785000101,4209102,Joinville,SC,16,4,6,66566.19,1.0,3.0
08184821000137,4209102,Joinville,SC,30,10,23,859429.85,1.0,1.0
08259606000158,4208203,Itajaí,SC,1,1,1,131606.16,1.0,1.0
08281643000162,4215802,São Bento do Sul,SC,30,12,25,67783.66,1.0,1.0
08289417000128,4212304,Paulo Lopes,SC,7,3,5,7295.129999999999,1.0,2.0
08345495000100,4201307,Araquari,SC,28,8,15,53053.54,1.0,1.0
08424027000113,3522109,Itanhaém,SP,1,1,1,11340.0,0.0,25.0
08438054000145,4201109,Anitápolis,SC,2,1,2,1221.1599999999999,1.0,1.0
08451635000117,2412005,São Gonçalo do Amarante,RN,10,3,10,80167.74,0.0,17.0
08565566000172,2408102,Natal,RN,1,1,1,28717.73,0.0,13.0
08595042000124,4203600,Campos Novos,SC,13,7,11,12691.5,1.0,1.0
08677428000185,5203302,Bela Vista de Goiás,GO,1,1,1,6750.0,0.0,0.0
08678243000195,5205455,Cezarina,GO,1,1,1,5356.0,0.0,0.0
08692266000154,4203709,Canelinha,SC,1,1,1,124.0,1.0,11.0
08715618000140,2507507,João Pessoa,PB,5,2,5,271807.88,0.0,7.0
08806026000133,4216909,São Lourenço do Oeste,SC,2,2,2,1211.72,1.0,1.5
08857731000160,4206009,Governador Celso Ramos,SC,11,4,9,60698.005000000005,1.0,1.0
08858200000191,4211504,Nova Trento,SC,2,2,2,4004.285,1.0,6.5
08931506000126,4128104,Umuarama,PR,2,1,2,611900.0,0.0,8.0
08999257000100,4202305,Biguaçu,SC,22,4,20,121933.72499999999,1.0,2.0
09097711000109,5220454,Senador Canedo,GO,4,1,4,1110000.0,0.0,10.0
09129733000103,4212908,Pinhalzinho,SC,2,1,2,282859.8,0.0,0.0
09206510000194,3303609,Paracambi,RJ,1,1,1,62000.0,0.0,1.0
09240588000125,4218707,Tubarão,SC,23,3,18,839530.454,1.0,1.0
09332615000190,5203807,Britânia,GO,1,1,1,6509.25,0.0,14.0
09509569000151,4313409,Novo Hamburgo,RS,1,1,1,40672.9,0.0,2.0
09522642000125,4214300,Rancho Queimado,SC,41,6,25,193031.21600000001,1.0,1.0
10324957000147,4202131,Bela Vista do Toldo,SC,12,4,10,9420.965,1.0,2.0
10377912000130,4215000,Rio Negrinho,SC,17,5,11,88315.77,1.0,1.0
10391817000191,4204004,Catanduvas,SC,21,5,16,166965.93000000002,1.0,1.0
10429180000185,4209854,Lindóia do Sul,SC,5,3,5,2891.61,1.0,1.0
10441099000110,4219606,Xavantina,SC,11,9,10,8246.7,1.0,1.0
10455823000165,4204301,Concórdia,SC,25,14,22,114938.23,1.0,1.0
10459525000143,4202008,Balneário Camboriú,SC,23,8,13,37536.9,1.0,1.0
10465435000165,4219101,Vargeão,SC,13,2,11,8851.803,1.0,1.0
10469199000155,4214805,Rio do Sul,SC,8,6,8,263971.5,0.875,1.5
10472663000162,5211701,Jandaia,GO,4,1,2,47760.0,0.0,7.0
10478051000187,4208609,Jaborá,SC,3,2,3,1210.5,1.0,1.0
10481963000108,4200754,Alto Bela Vista,SC,11,5,10,6443.63,1.0,2.0
10496025000181,5221007,Taquaral de Goiás,GO,1,1,1,60000.0,0.0,6.0
10496698000131,4205308,Faxinal dos Guedes,SC,12,6,11,10812.776,1.0,1.5
10532003000120,4200101,Abelardo Luz,SC,1,1,1,200.0,1.0,8.0
10559279000100,3511102,Catanduva,SP,2,2,2,223200.0,0.0,6.5
10564533000150,5210307,Israelândia,GO,2,2,2,4139.25,0.0,1.0
10565436000181,4217006,São Ludgero,SC,3,1,2,4519.74,1.0,2.0
10568451000183,4207304,Imbituba,SC,8,4,7,26053.89,1.0,1.5
10594533000100,4209003,Joaçaba,SC,9,3,7,34754.45,1.0,1.0
10596772000191,4214706,Rio dos Cedros,SC,1,1,1,1420000.0,0.0,25.0
10618855000134,4217709,Sombrio,SC,1,1,1,129600.0,1.0,10.0
10624466000111,4202206,Benedito Novo,SC,7,4,7,10279.6,1.0,1.0
10628610000198,2608909,Limoeiro,PE,15,2,15,326943.25,0.0,11.0
10631880000158,4207205,Imaruí,SC,4,2,4,799.4,1.0,1.5
10635089000116,2927408,Salvador,BA,1,1,1,103124.6,0.0,3.0
10642703000177,4213005,Pinheiro Preto,SC,1,1,1,409881.6,0.0,2.0
10701551000136,5200803,Alvorada do Norte,GO,3,2,2,8461.0,0.0,45.0
10714485000139,4200606,Águas Mornas,SC,23,5,21,18006.8042,1.0,1.0
10788473000159,4207106,Ilhota,SC,10,6,9,7525.8,1.0,1.0
10839115000128,5216809,Petrolina de Goiás,GO,1,1,1,846045.2,0.0,23.0
10846103000120,2611606,Recife,PE,1,1,1,23920.0,0.0,347.0
10971858000157,4203956,Capivari de Baixo,SC,14,4,10,87990.81599999999,1.0,1.0
11105638000103,5203203,Barro Alto,GO,2,2,2,59557.31,0.0,93.5
11135974000107,2917706,Jaguarari,BA,2,2,2,36755.0,1.0,117.5
11136549000124,4217204,São Miguel do Oeste,SC,6,2,6,1253428.0,0.0,2.0
