orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
07276220000191,3106200,Belo Horizonte,MG,1,1,1,6431.46,0.0,0.0
07343110000103,5208806,Goianira,GO,4,1,4,48457.92999999999,0.0,18.0
07381646000105,3540606,Porto Feliz,SP,1,1,1,2500.47,0.0,7.0
07408808000151,5204508,Caldas Novas,GO,2,2,2,193212.0,0.0,0.0
07556356000155,3526803,Lençóis Paulista,SP,1,1,1,315.0,0.0,12.0
07556717000163,5212501,Luziânia,GO,7,2,2,17660.559999999998,0.0,0.0
07690399000129,2309300,Nova Russas,CE,3,3,3,115428.0,0.0,10.0
07720960000175,5200605,Alto Paraíso de Goiás,GO,1,1,1,13500.0,0.0,5.0
07748322000162,5220009,São João d'Aliança,GO,3,2,3,8610.0,0.0,54.0
07750478000188,3551702,Sertãozinho,SP,5,5,5,105119.8,0.0,7.0
07789410000102,4207502,Indaial,SC,1,1,1,5997.0,1.0,1.0
07821223000169,4202404,Blumenau,SC,3,2,3,26028.239999999998,1.0,1.0
07849816000133,3537602,Peruíbe,SP,1,1,1,2554.8,0.0,5.0
07900983000161,3306156,Varre-Sai,RJ,1,1,1,48957.5,0.0,3.0
08013657000103,5213772,Montividiu do Norte,GO,3,3,3,161770.7,0.0,0.0
08046438000112,3508108,Buritama,SP,6,3,3,272904.58999999997,0.0,20.5
08082743000160,3550308,São Paulo,SP,3,3,3,565652.0,0.0,4.0
08083086000175,5203302,Bela Vista de Goiás,GO,1,1,1,912.0,0.0,1.0
08184785000101,4209102,Joinville,SC,24,3,8,43506.91,1.0,3.0
08184821000137,4209102,Joinville,SC,40,12,33,1525271.79,1.0,1.0
08259606000158,4208203,Itajaí,SC,30,8,15,821207.756,1.0,2.0
08281643000162,4215802,São Bento do Sul,SC,30,13,23,80072.77,1.0,1.0
08289417000128,4212304,Paulo Lopes,SC,10,5,10,21956.93,1.0,1.0
08311485000146,4209102,Joinville,SC,2,2,2,155750.0,1.0,2.5
08345495000100,4201307,Araquari,SC,16,5,9,64474.6797,1.0,1.0
08351513000159,5204003,Cabeceiras,GO,6,6,5,306110.4,0.0,23.5
08434600000170,3505708,Barueri,SP,2,2,2,12127.08,0.0,9.0
08438054000145,4201109,Anitápolis,SC,23,6,13,25665.421,1.0,4.0
08543762000146,4205704,Garopaba,SC,15,1,10,19809.851,1.0,1.0
08595042000124,4203600,Campos Novos,SC,32,11,25,84476.2712,1.0,1.0
08674396000164,2508901,Mamanguape,PB,1,1,1,271185.0,0.0,37.0
08678243000195,5205455,Cezarina,GO,1,1,1,29040.0,0.0,26.0
08692266000154,4203709,Canelinha,SC,19,6,16,34701.56,1.0,1.0
08712299000119,5204003,Cabeceiras,GO,1,1,1,15080.0,0.0,31.0
08715618000140,2507507,João Pessoa,PB,1,1,1,7982.64,0.0,8.0
08734175000134,3301405,Conceição de Macabu,RJ,2,2,2,55350.0,0.0,16.5
08806026000133,4216909,São Lourenço do Oeste,SC,9,3,7,44269.65,1.0,1.0
08806721000103,2507507,João Pessoa,PB,1,1,1,924416.73,0.0,28.0
08857731000160,4206009,Governador Celso Ramos,SC,24,5,19,29377.99,1.0,1.5
08858200000191,4211504,Nova Trento,SC,25,6,15,15926.166000000001,1.0,1.0
08931506000126,4128104,Umuarama,PR,5,5,5,933060.8,0.0,14.0
08969291000132,3303500,Nova Iguaçu,RJ,5,3,5,5143777.01,0.0,147.0
08971900000198,4217253,São Pedro de Alcântara,SC,3,2,3,2580.15,1.0,1.0
08999257000100,4202305,Biguaçu,SC,56,16,41,202633.147,1.0,2.0
09035539000150,1101435,Nova União,RO,1,1,1,48000.0,0.0,0.0
09105181000195,5208004,Formosa,GO,2,2,2,497600.4,0.0,0.0
09332615000190,5203807,Britânia,GO,3,3,3,44834.380000000005,0.0,2.0
09356616000174,2504009,Campina Grande,PB,8,4,7,1039869.1399999999,0.625,3.0
09403680000169,3550704,São Sebastião,SP,12,12,10,151283.94,0.0,72.5
09509569000151,4313409,Novo Hamburgo,RS,3,3,3,16425618.89,0.0,0.0
09522642000125,4214300,Rancho Queimado,SC,16,8,13,4772.83,1.0,1.0
09664082000143,2309706,Pacatuba,CE,2,2,2,1185500.0,1.0,11.5
10257397000155,4203204,Camboriú,SC,1,1,1,1558.8,0.0,0.0
10316445000139,2600401,Água Preta,PE,2,2,1,237583.08000000002,0.0,30.5
10324957000147,4202131,Bela Vista do Toldo,SC,12,8,9,4802.3,1.0,1.0
10377912000130,4215000,Rio Negrinho,SC,37,6,20,92378.065,1.0,1.0
10391817000191,4204004,Catanduvas,SC,50,12,26,684241.858,0.98,1.5
10396929000135,4219507,Xanxerê,SC,6,3,6,21293.56,1.0,1.0
10414835000141,3203205,Linhares,ES,1,1,1,1799000.0,0.0,13.0
10429180000185,4209854,Lindóia do Sul,SC,20,8,14,362930.68,0.95,1.0
10441099000110,4219606,Xavantina,SC,5,5,5,7227.7,1.0,1.0
10455823000165,4204301,Concórdia,SC,8,6,8,45826.656,1.0,1.0
10459525000143,4202008,Balneário Camboriú,SC,49,8,28,641209.986,0.9795918367346939,1.0
10465435000165,4219101,Vargeão,SC,4,1,2,13520.2,1.0,1.0
10467921000112,1500602,Altamira,PA,2,2,2,796580.22,0.0,9.5
10469199000155,4214805,Rio do Sul,SC,16,9,12,404349.71,0.9375,1.0
10478051000187,4208609,Jaborá,SC,2,2,2,1782.53,1.0,4.0
10479670000196,4212502,Penha,SC,3,2,2,8389.0512,1.0,2.0
10481963000108,4200754,Alto Bela Vista,SC,2,1,1,6063.48,1.0,1.0
10485444000118,4211603,Nova Veneza,SC,1,1,1,63610.0,0.0,0.0
10532003000120,4200101,Abelardo Luz,SC,40,12,28,29893.48,1.0,0.0
10540697000147,4205456,Forquilhinha,SC,50,4,20,100280.554,1.0,1.0
10552903000139,4204905,Descanso,SC,7,7,7,1043670.73,0.14285714285714285,2.0
10559279000100,3511102,Catanduva,SP,1,1,1,15610.0,0.0,8.0
10559316000171,1707009,Dianópolis,TO,1,1,1,66000.0,0.0,6.0
10564533000150,5210307,Israelândia,GO,29,12,27,1734970.78,0.0,40.0
10565436000181,4217006,São Ludgero,SC,59,6,32,139151.36,0.9830508474576272,1.0
10568451000183,4207304,Imbituba,SC,24,9,18,52989.89,1.0,1.0
10594533000100,4209003,Joaçaba,SC,9,2,7,46204.770000000004,1.0,1.0
10596772000191,4214706,Rio dos Cedros,SC,1,1,1,570.0,1.0,65.0
10624466000111,4202206,Benedito Novo,SC,6,1,6,6.0,1.0,9.5
10631880000158,4207205,Imaruí,SC,9,4,8,28502.58,1.0,1.0
10635089000116,2927408,Salvador,BA,1,1,1,20516527.18,1.0,63.0
10642703000177,4213005,Pinheiro Preto,SC,1,1,1,230000.0,0.0,1.0
10701551000136,5200803,Alvorada do Norte,GO,7,6,5,13535.45,0.0,11.0
10714485000139,4200606,Águas Mornas,SC,13,4,9,26025.8,1.0,1.0
10759024000182,5210307,Israelândia,GO,2,1,2,18000.0,0.0,21.0
10836939000144,5001904,Bataguassu,MS,1,1,1,14561.36,0.0,195.0
10872104000140,5204508,Caldas Novas,GO,2,2,2,4198.8,0.0,50.0
10971858000157,4203956,Capivari de Baixo,SC,23,8,18,115485.885,1.0,1.0
11084263000142,5006606,Ponta Porã,MS,1,1,1,50340.0,0.0,14.0
11112312000103,5004700,Ivinhema,MS,2,1,2,195600.0,0.0,0.0
11124654000143,4316451,Salto do Jacuí,RS,1,1,1,24000.0,0.0,3.0
11135974000107,2917706,Jaguarari,BA,11,6,10,3720415.05,0.0,34.0
11149280000110,5200506,Aloândia,GO,1,1,1,750.0,0.0,4.0
11151460000137,4201406,Araranguá,SC,1,1,1,2500.0,1.0,2.0
11152150000137,5208905,Goiás,GO,37,3,37,969566.06,0.0,43.0
11166368000140,5217708,Pontalina,GO,4,4,3,19700.0,0.0,4.0
11168270000122,5215702,Palmeiras de Goiás,GO,6,1,6,20820.64,0.0,8.0
11171868000170,5216403,Paraúna,GO,3,3,3,125834.44,0.0,39.0
11188015000141,4202909,Brusque,SC,3,2,3,14340.55,1.0,1.0
11195905000180,4201257,Apiúna,SC,1,1,1,100000.0,1.0,9.0
11208059000196,2607109,Ingazeira,PE,2,2,2,113983.1,0.0,3.5
11214458000160,4216602,São José,SC,6,4,6,7213.075000000001,1.0,2.0
11221619000142,5005707,Naviraí,MS,66,11,47,890900.2,0.16666666666666666,7.0
11224030000106,4205605,Galvão,SC,2,2,2,825.4,1.0,1.0
11231203000105,4210605,Massaranduba,SC,2,1,2,294.6,1.0,1.0
11232665000147,5200506,Aloândia,GO,15,11,13,49491.11,0.0,4.0
11237287000194,5214861,Nova Glória,GO,1,1,1,21000.0,0.0,12.0
11241709000103,4201703,Ascurra,SC,53,13,28,64299.233,1.0,1.0
11243552000147,4200804,Anchieta,SC,5,3,4,142841.7,1.0,1.0
11246073000184,4215109,Rodeio,SC,7,3,6,26970.489999999998,1.0,1.0
11261188000148,2803005,Itabaianinha,SE,5,5,5,1539133.6,0.0,40.0
11265919000123,4205001,Dionísio Cerqueira,SC,24,3,20,81964.73000000001,1.0,1.0
11267244000151,5203906,Buriti Alegre,GO,2,2,2,237366.0,0.0,16.5
11271704000115,5205307,Cavalcante,GO,3,1,3,476400.0,0.0,28.0
11290422000165,4202081,Bandeirante,SC,7,3,6,6531.86,1.0,1.0
11293112000102,2615904,Tuparetama,PE,1,1,1,66000.0,0.0,6.0
11293409000160,4206504,Guaramirim,SC,26,4,19,1699407.154,0.9615384615384616,1.0
11294684000106,3302270,Japeri,RJ,1,1,1,57000.0,0.0,27.0
11299998000193,4212056,Palmeira,SC,56,9,32,36544.700000000004,1.0,2.0
11301658000150,4210001,Luiz Alves,SC,34,3,26,157563.931,1.0,1.0
11303923000139,4205803,Garuva,SC,8,6,7,42942.16,1.0,4.0
11306530000189,5221197,Terezópolis de Goiás,GO,32,32,30,1826840.31,0.0,30.5
11307015000113,5219100,Santa Bárbara de Goiás,GO,1,1,1,7835.0,0.0,9.0
11310394000109,4212205,Papanduva,SC,28,10,25,29202.469399999998,1.0,1.0
11312860000187,4203204,Camboriú,SC,4,2,4,1435000.0,0.0,0.0
11315213000129,5219308,Santa Helena de Goiás,GO,98,5,94,4435834.11,0.0,408.0
