orgao_cnpj,municipio_ibge,municipio,uf,instrumentos,compras,fornecedores,valor_inicial,share_origem_externa,lag_mediano
00421772000105,5213103,Mineiros,GO,1,1,1,20063.28,0.0,35.0
00444435000125,3201308,Cariacica,ES,1,1,1,9800.0,0.0,4.0
00460408000146,3110608,Cambuí,MG,1,1,1,5706.6,0.0,0.0
00675468000186,5204508,Caldas Novas,GO,47,18,32,6629478.99,0.0,199.0
00941254000104,3302106,Itaocara,RJ,1,1,1,25992.0,0.0,1.0
01280363000190,4209102,Joinville,SC,1,1,1,54900.0,0.0,26.0
01282378000198,4217105,São Martinho,SC,4,3,3,1369.0,1.0,2.0
01349236000109,4202800,Braço do Norte,SC,13,2,11,31892.631999999998,1.0,1.0
01397083000167,4216503,São Joaquim,SC,5,5,5,20979.670000000002,1.0,2.0
01465988000127,5213103,Mineiros,GO,6,4,4,69405.52,0.0,53.5
01600293000100,4214904,Rio Fortuna,SC,2,2,2,216.99,1.0,1.0
01746653000187,4208807,Jaguaruna,SC,34,7,24,116613.72499999999,1.0,1.0
01815216000178,5218805,Rio Verde,GO,4,4,4,711485.1,0.0,3.5
01824828000127,4209409,Laguna,SC,13,4,10,4436.610000000001,1.0,1.0
01842685000186,4203907,Capinzal,SC,1,1,1,2500.0,1.0,1.0
01877528000106,4202107,Barra Velha,SC,1,1,1,11510.0,1.0,0.0
01941360000150,4203303,Campo Alegre,SC,1,1,1,1070.61,1.0,11.0
02073207000111,4206108,Grão-Pará,SC,3,2,3,6162.0,1.0,4.0
02316487000141,5213103,Mineiros,GO,2,2,2,152373.03,0.0,1.5
02362976000130,4208203,Itajaí,SC,3,1,3,46080.0,0.0,5.0
02396675000127,4218004,Tijucas,SC,1,1,1,15400.0,0.0,7.0
02406542000194,4215802,São Bento do Sul,SC,1,1,1,450.0,1.0,2.0
02482295000105,4208450,Itapoá,SC,10,5,7,23311.08,1.0,3.0
02571926000162,5220009,São João d'Aliança,GO,2,2,2,11090.0,0.0,7.5
02983473000181,2910800,Feira de Santana,BA,2,2,1,88800.0,0.0,16.0
03264792000108,4216206,São Francisco do Sul,SC,1,1,1,441472.2499,0.0,0.0
03347885000198,4218509,Treze Tílias,SC,13,9,10,12772.42,1.0,2.0
04122069000149,3157807,Santa Luzia,MG,1,1,1,90000.0,0.0,7.0
04244525000123,5220009,São João d'Aliança,GO,8,4,6,28972.29,0.0,2.5
04691691000178,3549805,São José do Rio Preto,SP,6,5,6,32721.010000000002,0.0,0.0
04729502000109,3541406,Presidente Prudente,SP,2,1,2,1890.1799999999998,0.0,12.0
04776218000193,5211909,Jataí,GO,1,1,1,1552.3,0.0,0.0
04786328000136,5221858,Valparaíso de Goiás,GO,1,1,1,124200.0,0.0,61.0
04849697000120,2503209,Cabedelo,PB,1,1,1,130000.0,0.0,79.0
