orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal,cod_ibge,despesa_empenhada_2025,despesa_liquidada_2025,despesa_paga_2025,populacao_siconfi_2025,liquidada_sobre_empenhada,paga_sobre_empenhada,despesa_empenhada_per_capita,exposicao_strength,exposicao_degree,procurement_intensity_parcial,log_despesa_empenhada,log_populacao_siconfi,log_despesa_per_capita,instrumentos_por_fornecedor
00091238000170,1,11,4208906,Jaraguá do Sul,SC,463764.85,11,9,0.3303067153054515,0.1239669421487603,0.4312528860261833,0.9731237932327128,3.027489159810901,0.246595054718633,0.0144628099173553,0.2063397731566912,0.2321322448012776,0.5642852833004187,0.7928941512263508,True,4208906,1500828977.09,1372402927.83,1352736980.24,193304.0,0.9144299242482585,0.901326534128399,7764.08650152092,0.7928941512263508,0.5642852833004187,0.00030900579418396284,21.129283443792367,12.17201935820529,8.957264085587079,1.2222222222222223
00118735000114,1,8,3543402,Ribeirão Preto,SP,111063.1,8,8,0.482405668049233,0.125,0.67974016572561,0.8988048235642621,2.072944134433227,0.4084636206276949,0.0,0.357405668049233,0.4084636206276949,0.4654146978313619,0.5645375633075265,True,3543402,4979786245.27,4786157084.16,4560174098.0,702739.0,0.9611169733853703,0.9157369158829729,7086.252855284822,0.5645375633075265,0.4654146978313619,2.2302784603554454e-05,22.328652804425225,13.46274083585367,8.865911968571552,1.0
00202770000117,1,5,5003256,Costa Rica,MS,2715530.62,5,5,0.6949849778971577,0.2,0.8248848249039445,0.982546689162356,1.4388800215880029,0.6187312223714472,3.4694469519536136e-17,0.4949849778971577,0.6187312223714472,0.4117452175048804,0.9372761350785832,True,5003256,287525724.58,274094685.29,274094685.29,26187.0,0.9532875212831158,0.9532875212831158,10979.712245770801,0.9372761350785832,0.4117452175048804,0.009444478833908448,19.476822890998868,10.173018383403459,9.303804507595409,1.0
00204125000133,1,24,2704302,Maceió,AL,610239.2,24,22,0.4451703128319597,0.0486111111111111,0.6440097587962229,0.913850699856712,2.24633128305093,0.4187498515382435,0.0033068783068783,0.3965592017208486,0.4154429732313652,0.5050952657728931,0.7796571592869536,True,2704302,5315509518.88,5117855869.47,5085156468.9,960667.0,0.9628156720051089,0.9566639756430091,5533.1446993391055,0.7796571592869536,0.5050952657728931,0.00011480351936771244,22.393894708469244,13.775383113854698,8.618511594614546,1.0909090909090908
00421772000105,1,7,5213103,Mineiros,GO,94485.35,7,5,0.5660541090014122,0.2244897959183673,0.719688290301089,0.9990614418002368,1.7666155657170668,0.4575676362517651,0.0306122448979591,0.3415643130830448,0.426955391353806,0.8462417641745803,0.8610589530446401,True,5213103,678402600.84,651782645.6,638880337.18,71108.0,0.9607608296208784,0.9417421696039144,9540.453969173652,0.8610589530446401,0.8462417641745803,0.00013927622017222217,20.335251476219995,11.171955127042576,9.16329634917742,1.4
00444435000125,1,7,3201308,Cariacica,ES,154466.04,7,5,0.4826939633728737,0.2244897959183673,0.6474950739981422,0.9815493424962536,2.0717060412614177,0.3533674542160921,0.0306122448979591,0.2582041674545064,0.3227552093181329,0.8783439423991328,0.7820737897734923,True,3201308,1713797658.97,1664098327.83,1652504246.88,375500.0,0.9710004673656343,0.964235327450011,4564.041701651132,0.7820737897734923,0.8783439423991328,9.013085015697523e-05,21.261977598210496,12.836013750186327,8.42596384802417,1.4
00460408000146,1,22,3110608,Cambuí,MG,372619.14,22,17,0.157484917144023,0.0661157024793388,0.2576357188737003,0.7300150496831697,6.349814433883091,0.1048277244655244,0.0077479338842975,0.0913692146646841,0.0970797905812269,0.5490923153217235,0.6126367342758027,True,3110608,201942681.75,197710334.94,197104731.06,29584.0,0.979041841113908,0.9760429511578476,6826.077668672256,0.6126367342758027,0.5490923153217235,0.0018451727825487293,19.123494461386905,10.294988953626905,8.82850550776,1.2941176470588236
00536717000152,1,14,3200300,Alfredo Chaves,ES,534139.95,14,14,0.0903419516776423,0.0714285714285714,0.123563122361471,0.4598221496070459,11.069054646596458,0.0203682556528456,0.0,0.0189133802490709,0.0203682556528456,0.5171079966975785,0.6415315856405838,True,3200300,125731832.1,121838651.42,120454168.77,13303.0,0.9690358390951976,0.9580244458236921,9451.389318198902,0.6415315856405838,0.5171079966975785,0.0042482475684850855,18.649661880164462,9.495744852683906,9.153917027480556,1.0
00569168000112,1,8,4215653,Santa Rosa do Sul,SC,120844.84,8,8,0.9811605689885692,0.125,0.9905263642204334,0.9963079102094884,1.0192011701314614,0.9784692217012216,0.0,0.8561605689885691,0.9784692217012216,0.9872684141500152,0.979413456325601,True,4215653,75185289.3,70853079.94,69710300.0,9308.0,0.9423795612102539,0.9271800461104298,8077.491330038676,0.979413456325601,0.9872684141500152,0.0016072936757323883,18.135466148773144,9.138629524422182,8.996836624350962,1.0
00675468000186,1,59,5204508,Caldas Novas,GO,6340587.28,59,50,0.1518031152982577,0.0244182706118931,0.3398081825631773,0.6083647160204377,6.587480092455501,0.1344929747941405,0.0045084393998909,0.1273848446863646,0.1299845353942496,0.5708877965008645,0.8785369323171911,True,5204508,619492442.1,618171380.34,581170603.17,93483.0,0.9978675094799837,0.9381399411426329,6626.792487404127,0.8785369323171911,0.5708877965008645,0.010235132584517451,20.244411058959052,11.445534880564031,8.79887617839502,1.18
