orgao_cnpj,n_municipios,n_instrumentos_mapeados,municipio_ibge,municipio,uf,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,count_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_hhi_norm,count_hhi_norm,hhi_gap_value_count,hhi_norm_gap_value_count,exposicao_degree_global,exposicao_strength_global,integracao_siconfi_principal
00091238000170,1,11,4208906,Jaraguá do Sul,SC,463764.85,11,9,0.3303067153054515,0.1239669421487603,0.4312528860261833,0.9731237932327128,3.027489159810901,0.246595054718633,0.0144628099173553,0.2063397731566912,0.2321322448012776,0.5642852833004187,0.7928941512263508,True
00118735000114,1,8,3543402,Ribeirão Preto,SP,111063.1,8,8,0.482405668049233,0.125,0.67974016572561,0.8988048235642621,2.072944134433227,0.4084636206276949,0.0,0.357405668049233,0.4084636206276949,0.4654146978313619,0.5645375633075265,True
00202770000117,1,5,5003256,Costa Rica,MS,2715530.62,5,5,0.6949849778971577,0.2,0.8248848249039445,0.982546689162356,1.4388800215880029,0.6187312223714472,3.4694469519536136e-17,0.4949849778971577,0.6187312223714472,0.4117452175048804,0.9372761350785832,True
00204125000133,1,24,2704302,Maceió,AL,610239.2,24,22,0.4451703128319597,0.0486111111111111,0.6440097587962229,0.913850699856712,2.24633128305093,0.4187498515382435,0.0033068783068783,0.3965592017208486,0.4154429732313652,0.5050952657728931,0.7796571592869536,True
00421772000105,1,7,5213103,Mineiros,GO,94485.35,7,5,0.5660541090014122,0.2244897959183673,0.719688290301089,0.9990614418002368,1.7666155657170668,0.4575676362517651,0.0306122448979591,0.3415643130830448,0.426955391353806,0.8462417641745803,0.8610589530446401,True
00444435000125,1,7,3201308,Cariacica,ES,154466.04,7,5,0.4826939633728737,0.2244897959183673,0.6474950739981422,0.9815493424962536,2.0717060412614177,0.3533674542160921,0.0306122448979591,0.2582041674545064,0.3227552093181329,0.8783439423991328,0.7820737897734923,True
00460408000146,1,22,3110608,Cambuí,MG,372619.14,22,17,0.157484917144023,0.0661157024793388,0.2576357188737003,0.7300150496831697,6.349814433883091,0.1048277244655244,0.0077479338842975,0.0913692146646841,0.0970797905812269,0.5490923153217235,0.6126367342758027,True
00536717000152,1,14,3200300,Alfredo Chaves,ES,534139.95,14,14,0.0903419516776423,0.0714285714285714,0.123563122361471,0.4598221496070459,11.069054646596458,0.0203682556528456,0.0,0.0189133802490709,0.0203682556528456,0.5171079966975785,0.6415315856405838,True
00569168000112,1,8,4215653,Santa Rosa do Sul,SC,120844.84,8,8,0.9811605689885692,0.125,0.9905263642204334,0.9963079102094884,1.0192011701314614,0.9784692217012216,0.0,0.8561605689885691,0.9784692217012216,0.9872684141500152,0.979413456325601,True
00675468000186,1,59,5204508,Caldas Novas,GO,6340587.28,59,50,0.1518031152982577,0.0244182706118931,0.3398081825631773,0.6083647160204377,6.587480092455501,0.1344929747941405,0.0045084393998909,0.1273848446863646,0.1299845353942496,0.5708877965008645,0.8785369323171911,True
00879976000186,1,130,4115804,Medianeira,PR,11618940.0,130,129,0.0160606475716299,0.0078106508875739,0.0602464596598312,0.1420095120553165,62.26399001285792,0.0083736213807833,5.9171597633138886e-05,0.008249996684056,0.0083144497831502,0.4014183565818778,0.7338298875553487,True
00955107000193,1,62,3543907,Rio Claro,SP,10561655.78,62,41,0.3182372040148773,0.0327783558792924,0.4431123393419284,0.9358906421394468,3.1423101616781763,0.3011931341152492,0.0085978147762747,0.2854588481355849,0.2925953193389745,0.4089851054170996,0.9493969393350832,True
00956081000106,1,6,3202900,Itarana,ES,106151.38,6,6,0.2320739326466755,0.1666666666666666,0.3101504662492376,0.8874422546367273,4.308971665173896,0.0784887191760106,3.3306690738754695e-17,0.0654072659800088,0.0784887191760106,0.5665369071316149,0.5120898105723422,True
00999472000108,1,78,5220454,Senador Canedo,GO,26509823.0,78,78,0.0279491368162613,0.0128205128205128,0.0543194875348658,0.2172779501394634,35.779280289550194,0.0153250996320569,0.0,0.0151286239957484,0.0153250996320569,0.5098980309332628,0.8895267040278789,True
01071994000108,1,27,4120358,Pranchita,PR,2374612.26,27,27,0.1737828224387252,0.037037037037037,0.2736810598291108,0.7285865693290069,5.754308659318696,0.1420052386863685,0.0,0.1367457854016882,0.1420052386863685,0.5901513689714607,0.8838852405670745,True
01210830000106,1,12,1709500,Gurupi,TO,247688.71,12,12,0.1253255800432246,0.0833333333333333,0.2230622461556685,0.6075206253849843,7.97921700944932,0.0458097236835177,1.5139404881252137e-17,0.0419922467098912,0.0458097236835177,0.5871260455807584,0.5488602270331562,True
01280363000190,1,40,4209102,Joinville,SC,17847811.020000003,40,36,0.516445116024835,0.0375,0.6590008145435865,0.9734623411538118,1.9363141773847496,0.5026292621969731,0.01,0.478945116024835,0.4926292621969731,0.4030349397261867,0.9764547823318932,True
01282378000198,1,83,4217105,São Martinho,SC,275811.33,83,32,0.3264675749704674,0.0599506459573232,0.4356945742584251,0.8872511509951386,3.063091334845309,0.3047407225501599,0.0296264732462691,0.2665169290131441,0.2751142493038906,0.988420371692752,0.9509934352417204,True
01294821000140,1,5,4219002,Urussanga,SC,108830.32,5,5,0.2908090286534612,0.2,0.411833761032771,0.9356796892630656,3.438682783097621,0.1135112858168265,3.4694469519536136e-17,0.0908090286534612,0.1135112858168265,0.7216033051462175,0.7463330555167816,True
01335616000186,1,6,3519071,Hortolândia,SP,247547.66,6,5,0.8458034325109581,0.2222222222222222,0.9183686082914296,0.9927442658920712,1.1823078052914429,0.8072542906386976,0.0277777777777778,0.6235812102887359,0.7794765128609198,0.9286776547191332,0.8394823368269281,True
01349236000109,1,150,4202800,Braço do Norte,SC,798637.512,150,27,0.0850697326245563,0.0720888888888889,0.1541113898992513,0.4692083872464032,11.755062219524811,0.04988010695627,0.0364,0.0129808437356674,0.01348010695627,0.998823193447826,0.9661347823758368,True
01397083000167,1,73,4216503,São Joaquim,SC,100602.17,73,37,0.1466578203959035,0.0504785137924563,0.3114594844226521,0.6386149523414854,6.818593084913539,0.1229538709624564,0.0241029169533579,0.0961793066034472,0.0988509540090985,0.9499614551316564,0.8329953085390361,True
01404511000131,1,59,4305108,Caxias do Sul,RS,1198498.93,59,36,0.1426669623016937,0.0577420281528296,0.2803506883397885,0.6635713975981605,7.009331269599255,0.1181717326531707,0.030820371814339,0.084924934148864,0.0873513608388316,0.536758008670956,0.7361063369289741,True
01420402000108,1,15,1504208,Marabá,PA,585387.26,15,13,0.6902083991042532,0.0844444444444444,0.8279417628596837,0.9274758388148044,1.4488377731968949,0.6643924323629409,0.0081481481481481,0.6057639546598088,0.6562442842147928,0.4620975469133834,0.8423318955145528,True
01465988000127,1,181,5213103,Mineiros,GO,4367017.77,181,113,0.0712633816597722,0.018589176154574,0.1908458526835808,0.4472593478821589,14.03245224558989,0.0629710904245916,0.009826579513097,0.0526742055051981,0.0531445109114945,0.6335084298579464,0.7780985131691335,True
01494665000161,1,18,5209101,Goiatuba,GO,608786.3300000001,18,15,0.1825732498012632,0.074074074074074,0.3065114816227887,0.7368088077798988,5.477253656209395,0.1241856247870677,0.0079365079365079,0.1084991757271891,0.1162491168505597,0.4348281855208816,0.6712453370504156,True
01600293000100,1,40,4214904,Rio Fortuna,SC,101651.77,40,24,0.4190953485824656,0.055,0.621730443060657,0.8918264777878436,2.3860918604378867,0.3938386246077902,0.0139130434782608,0.3640953485824656,0.3799255811295293,0.6260760024289795,0.6895089403573158,True
01610999000153,1,13,4203303,Campo Alegre,SC,13286.62,13,12,0.379511129578573,0.0887573964497041,0.5953658643055947,0.843736029178226,2.6349688377003515,0.3231030504493524,0.0059171597633136,0.2907537331288689,0.3171858906860388,0.9947415335402404,0.817486814233129,True
01648573000199,1,44,3303955,Pinheiral,RJ,5066224.19,44,37,0.2591457495889256,0.03099173553719,0.486728815686303,0.6967581709012368,3.858832342750236,0.2385664648552847,0.004074839302112,0.2281540140517355,0.2344916255531726,0.7447417882825756,0.8859567334781283,True
01650166000116,1,18,5212204,Jussara,GO,579048.92,18,15,0.2138000615108942,0.074074074074074,0.4144727530102292,0.6717912538374133,4.677267129546848,0.1576429230473867,0.0079365079365079,0.1397259874368202,0.1497064151108788,0.4825474236048388,0.6717791023304875,True
01743462000161,1,6,4210605,Massaranduba,SC,7074.5,6,6,0.3399855573239107,0.1666666666666666,0.4839918015407449,0.9643084316912856,2.941301412539948,0.2079826687886928,3.3306690738754695e-17,0.173318890657244,0.2079826687886928,0.9834353421249682,0.7471548617585969,True
01746653000187,1,698,4208807,Jaguaruna,SC,1372016.0082,698,163,0.0349112696172949,0.0205458083266968,0.1041020360887652,0.2867162545108269,28.64404563231937,0.0289539317754263,0.0144997947978492,0.014365461290598,0.014454136977577,0.995583892748012,0.9274310169250825,True
01815216000178,1,132,5218805,Rio Verde,GO,40244972.07,132,118,0.1694447488653912,0.0095270890725436,0.3844455395096016,0.5911605889207416,5.901628741498568,0.1623459860351809,0.0010615086372662,0.1599176597928476,0.1612844773979147,0.4374408462174675,0.9295376138843544,True
01823752000115,1,10,4208203,Itajaí,SC,80519.47,10,7,0.3104101187524868,0.16,0.4346774761433477,0.9314016845863492,3.221544465170527,0.1954784718779012,0.02,0.1504101187524867,0.1754784718779012,0.7318943721529946,0.7097156326300114,True
