orgao_cnpj,valor_total,n_instrumentos,n_fornecedores,portfolio_hhi,portfolio_cr1,portfolio_cr4,portfolio_neff,portfolio_entropy_norm,count_hhi,count_neff,hhi_gap_value_minus_count,exposicao_degree,exposicao_strength
00091238000170,354388.32,7,6,0.40452126437855135,0.5643524876892105,0.9904406838238913,2.4720579313333677,0.6140806469257593,0.18367346938775508,5.444444444444445,0.22084779499079626,0.41506546176305276,0.7484208448057248
00204125000133,93584.2,7,7,0.3627043694426003,0.5231652351572167,0.917454014673417,2.7570663169478435,0.6735154335244494,0.14285714285714285,7.0,0.21984722658545747,0.44708342857392275,0.5034087508994136
00460408000146,115122.95999999999,5,5,0.7121942314230545,0.8338909979382045,0.9897622507273962,1.4041113447407079,0.3610256867934865,0.20000000000000004,4.999999999999999,0.5121942314230544,0.4883817695641092,0.6839676665600792
00536717000152,383040.95,10,10,0.12749968892067842,0.17230533706644158,0.6101159158048245,7.843156390931522,0.9305341934583983,0.10000000000000003,9.999999999999996,0.02749968892067839,0.5123061484187917,0.6522842763779553
00955107000193,347447.98000000004,34,27,0.0992656907238385,0.1731194407865028,0.5443922857171309,10.073974126488917,0.7842373202917639,0.043252595155709346,23.119999999999997,0.05601309556812916,0.49815884453957354,0.5430572614618535
00999472000108,15195600.0,38,38,0.05613047041653832,0.09476427386875148,0.37905709547500593,17.81563547533283,0.8689435126598081,0.02631578947368421,38.0,0.02981468094285411,0.46923975699979853,0.9142891110850542
01071994000108,2330112.26,26,26,0.18011921632404948,0.27890776386885324,0.7425009643097624,5.551878474759277,0.6640751768379669,0.038461538461538464,26.0,0.14165767786251102,0.5966612844188836,0.8919495534048115
01280363000190,17337283.92,18,16,0.5471006198949253,0.6784062633035545,0.9944246157330047,1.8278173404227862,0.27272038469273174,0.07407407407407407,13.5,0.47302654582085124,0.41031407216970733,0.9874785893712867
01282378000198,128035.94,17,13,0.6270303612307502,0.7810307012234221,0.947735534257022,1.5948191057880772,0.33817776552022033,0.10034602076124567,9.965517241379311,0.5266843404695045,0.9883255129447521,0.9770092336357968
01349236000109,436648.678,70,22,0.1022914515136944,0.1793203642769302,0.5505438401899845,9.77598797555555,0.8161845245157895,0.0742857142857143,13.461538461538458,0.028005737227980096,0.9978254241054763,0.9466762685726758
