spec,k,coef,se_HAC4,p_value,n_quarters
seasonality_eventFE,-4,0.0002029176419661716,0.0014647750192962564,0.8898202891448673,54
seasonality_eventFE,-3,0.00014730656940568158,0.0010237339917579334,0.8855861866304539,54
seasonality_eventFE,-2,0.0013562164016139165,0.000796067950057843,0.08844761252359727,54
seasonality_eventFE,0,0.0023180729247686657,0.0011427266812238431,0.042504617128846,54
seasonality_eventFE,1,0.0002113477312321935,0.0003687169847766126,0.5665108348837204,54
seasonality_eventFE,2,0.0011035680220127574,0.0006926045821054458,0.11107958800417402,54
seasonality_eventFE,3,-0.0012035057207208028,0.0009724831606521844,0.21587945969732913,54
seasonality_eventFE,4,0.000898757848034514,0.0006546897419740504,0.16981463989181123,54
seasonality_eventFE_macro,-4,0.00006197020605291353,0.001378114934415424,0.9641333165051975,54
seasonality_eventFE_macro,-3,-0.0007394435275866507,0.00099154254534969,0.45581803807414834,54
seasonality_eventFE_macro,-2,0.0012048808849781008,0.0009011757885824106,0.18121942922213297,54
seasonality_eventFE_macro,0,0.001706698210593071,0.0008894727128149305,0.055012785722374155,54
seasonality_eventFE_macro,1,-0.0015580138102553576,0.0011812893001057485,0.18719933295169222,54
seasonality_eventFE_macro,2,0.0008707641378971684,0.000929862223686704,0.3490445010356523,54
seasonality_eventFE_macro,3,-0.001561251419902408,0.000990701418149112,0.11504767489833621,54
seasonality_eventFE_macro,4,0.0009034752161789675,0.0008287834431540762,0.27565932590572395,54
