model,spec,coef_deg,se_deg,p_deg,AME,AME_se,AME_p,k,N,df
static,original,0.028378117715550624,0.013356069787418382,0.033689704102685764,0.0010691752763010848,0.000675281013833235,0.1134568846384827,21,3072,3019
static,quarter_FE,0.028717483342694174,0.01339307799065151,0.03209629783899938,0.0010900325606500068,0.0006662877200975653,0.10194837392428888,24,3072,3016
static,quarter_FE_linear_trend,0.028863299069436826,0.013207523161191656,0.028938575986448292,0.0011073377383724568,0.000663372045273192,0.09517048236550094,25,3072,3015
static,quarter_FE_quadratic_trend,0.02895686478133245,0.013152718247697679,0.027769952125043136,0.0011013559684047505,0.0006664485391702905,0.0985216139329428,26,3072,3014
dynamic,original,0.022566301060138426,0.010641545288420887,0.034038966588012726,0.0009524495698191582,0.0006368606690383497,0.1348796678182564,22,3040,2986
dynamic,quarter_FE,0.022506610012834796,0.010698122059013493,0.035480214872782884,0.0009693557648249966,0.0006248268152305233,0.1209121498142239,25,3040,2983
dynamic,quarter_FE_linear_trend,0.02282960420174942,0.010606397127529156,0.03144294085592263,0.000986144790671075,0.0006200366344038075,0.1118366742210776,26,3040,2982
dynamic,quarter_FE_quadratic_trend,0.022911094085965724,0.010554332157829235,0.030026759438132603,0.0009806127334461394,0.0006226778044556579,0.1154014162992939,27,3040,2981
