model,sample,group,AME,SE,p_value,dpcdl,iend,dtc
static,all,all,0.0010691752763,0.000675281013833,0.113456884638,-0.00569492651156,0.854725233407,0.28125
static,election,all,0.00111610964364,0.000696283267865,0.109049548274,-0.00627736789238,0.855067810584,0.28125
static,all,private,0.00144497025908,0.000906199906703,0.110920243128,-0.00595996266088,0.834988392166,0
static,all,public,0.000108810320298,0.000754341958287,0.885316358495,-0.00501761190775,0.905163827687,1
dynamic,all,all,0.000952449569819,0.000636860669038,0.134879667818,-0.00572571128713,0.855072111557,0.28125
dynamic,election,all,0.00100396343528,0.00067036461698,0.134333059186,-0.00627736789238,0.855067810584,0.28125
dynamic,all,private,0.00113755983559,0.000808593236166,0.159579447858,-0.0059964545937,0.835483118407,0
dynamic,all,public,0.000479390001738,0.000796563367874,0.547337782406,-0.0050338117259,0.905132871829,1
