model,spec,coef_event_q4,se_event_q4,p_event_q4,N,df,AME_event_q4,AME_se,AME_p
static,event_q4_no_election_interactions,0.0014416718980591406,0.0015670907741506606,0.3576634953293778,3072,3018,0.0014416718980591406,0.0015670907741506606,0.3576634953293778
static,event_q4_with_interactions,0.03578687277240604,0.011499844748141752,0.0018759996653130349,3072,3015,0.0013595885613363404,0.001633449663087142,0.4052819202843291
dynamic,event_q4_no_election_interactions,0.0011772733788534635,0.0014134099520454353,0.40495011714437645,3040,2985,0.0011772733788534635,0.0014134099520454353,0.40495011714437645
dynamic,event_q4_with_interactions,0.025119147794836573,0.010471864684265357,0.016513219521137688,3040,2982,0.0010677283718952303,0.001425318433132852,0.45384657776251874
