term,Estimate,Std.Error,t.value,p.value
ieo,0.00653190171778,0.00106329761737,6.14306061734,1.03781286908e-09
iend,-0.00974066499766,0.0363588552833,-0.267903511312,0.788810846815
spread,0.00854308915051,0.0487710705005,0.175167144433,0.860972212133
dpcdl,0.770561550442,0.234774722261,3.28213166657,0.00105421800026
capat,-0.000360333500759,0.00520487788848,-0.0692299624467,0.944815906963
ccat,0.0140605826192,0.00946810291179,1.48504750637,0.137743763744
mcat,0.104777658848,0.0837736546719,1.25072326447,0.211232750333
ipca,0.0242425606156,0.0315726376676,0.767834505017,0.442707749237
selic,-0.0688069375431,0.0713285706382,-0.964647642979,0.334878599504
deg,0.0231010878945,0.00964360359759,2.39548293962,0.0167218456888
dem,-0.0330603209449,0.0227030290393,-1.45620749053,0.145546938858
dpcdl:deg,0.0686325695325,0.146450227167,0.468640922312,0.639395197767
dpcdl:dem,0.0586572015178,0.186237400311,0.314959301515,0.752836863754
dpcdl:dtc,-0.788862625524,0.22893332345,-3.44581825676,0.000585224295155
iend:deg,-0.0268244027436,0.012039997377,-2.22794091257,0.0260339556654
iend:dem,0.0368008339963,0.0255424390145,1.44077211951,0.149860163581
deg:dtc,0.00133660370262,0.00109376324461,1.22202287306,0.221893176114
dem:dtc,-0.000304202649874,0.0010709931032,-0.284037916737,0.776420974338
spread:dtc,0.105767101579,0.0477987824193,2.2127572341,0.0270662175881
capat:dtc,-0.0354889412553,0.00794251669404,-4.4682236906,8.48588123642e-06
ccat:dtc,-0.00617714181298,0.0157415955082,-0.392408876835,0.694812517779
